X,name,Year,D,TR.year,agePA,PAArea,Forest.2000,Loss.2001,Loss.2002,Loss.2003,Loss.2004,Loss.2005,Loss.2006,Loss.2007,Loss.2008,Loss.2009,Loss.2010,Loss.2011,Loss.2012,Loss.2013,Loss.2014,Loss.2015,Loss.2016,Loss.2017,Loss.2018,Loss.2019,Loss.2020,Rainfall.2000,Rainfall.2001,Rainfall.2002,Rainfall.2003,Rainfall.2004,Rainfall.2005,Rainfall.2006,Rainfall.2007,Rainfall.2008,Rainfall.2009,Rainfall.2010,Rainfall.2011,Rainfall.2012,Rainfall.2013,Rainfall.2014,Rainfall.2015,Rainfall.2016,Rainfall.2017,Rainfall.2018,Rainfall.2019,Rainfall.2020,Population.2000,Population.2001,Population.2002,Population.2003,Population.2004,Population.2005,Population.2006,Population.2007,Population.2008,Population.2009,Population.2010,Population.2011,Population.2012,Population.2013,Population.2014,Population.2015,Population.2016,Population.2017,Population.2018,Population.2019,Population.2020,slope,aspect,elevation,ppp2000,Road.length,Zone,x,y,closest.city,AGB.mean
11,Bhadra WLS/Tiger Reserve,1974,1,2007,46,463205329,419.5901612,0.110368235,0.157747059,0.248745883,0.346891765,0.362025883,0.372825883,0.476325883,0.498709412,0.546409412,0.596184706,0.598884706,0.655627059,0.82434353,0.84684353,0.84774353,0.972197648,1.065748236,1.085040001,1.085040001,1.089540001,2152.417968,1654.021067,1422.280196,1179.52562,1757.884243,2520.003918,1866.384775,2563.331038,2067.21266,2391.234242,2782.866953,1786.618683,1738.161956,1615.767553,1942.274374,1759.110041,1250.198705,1670.997034,1555.556269,1896.943963,2156.255877,0.57642772,0.589682027,0.578313867,0.60129305,0.607412893,0.55848363,0.560865238,0.524668359,0.513040637,0.50939683,0.460428048,0.441084259,0.463760762,0.475548048,0.45104688,0.472918991,0.408762925,0.438643868,0.434693195,0.471399513,0.490058257,8.121810093,189.0189214,829.1576699,5.579058,39851.14865,WG,75.63105,13.55047,156.0900901,231.2079251
12,Bhairamgarh WLS,1983,0,0,37,10940658.17,10.72804941,9.00E-04,9.00E-04,9.00E-04,0.015744706,0.026414118,0.026647118,0.051374177,0.163874177,0.186374177,0.187274177,0.250447118,0.268694177,0.296488295,0.306388295,0.308188295,0.308188295,0.314488295,0.317188295,0.317188295,0.318988295,1404.983649,1667.795876,1113.322646,1893.416146,1355.486772,1623.40878,1705.289876,1706.69357,1496.538407,1342.951965,2069.480884,1232.614007,1903.854989,1691.91029,1470.374709,1373.502424,1599.699296,1386.200225,1554.037237,1661.928225,1754.907307,0.261424855,0.248741671,0.275041311,0.289603106,0.248008358,0.251906835,0.234074541,0.220526626,0.234538133,0.204520915,0.208751043,0.177554038,0.180417396,0.17100763,0.238708725,0.215286667,0.211620761,0.233467233,0.218865961,0.245735501,0.277979242,7.900497288,180.0902307,348.2897323,1.290666,0,CEEG,80.94548,19.11335,254.2,187.6335345
13,Bhamragarh WLS,1997,0,0,23,172463551.8,167.2618482,0.0135,0.143325882,0.146025882,0.18048,0.20928,0.21288,0.259415294,0.266707059,0.32130353,0.32670353,0.352838824,0.359138824,0.506738824,0.789338824,0.857738824,1.270838824,1.426076471,1.537369412,2.138675294,2.175197647,1506.169687,1938.874685,1296.291107,1950.155441,1516.697752,1671.509561,1798.061344,1862.99507,1641.182972,1472.615656,2046.286151,1472.883719,1852.561052,1844.983924,1589.339748,1499.576351,1734.423673,1469.419398,1653.329305,1771.199116,1846.994227,0.095602779,0.102323593,0.101831439,0.098010174,0.104321378,0.096586363,0.095340735,0.093469318,0.094185393,0.088527719,0.088799835,0.077983449,0.078811556,0.112797377,0.092739115,0.087252237,0.171391269,0.163932759,0.170987799,0.166533656,0.190692051,11.07698277,191.2066133,485.927107,1.290666,0,CEEG,80.73871,19.54657,721.7440758,196.2569012
14,Bhimgad WLS,2010,0,0,10,156897730.5,119.0799282,0,0,0,9.00E-04,0.0288,0.0288,0.0297,0.0297,0.0306,0.0306,0.0333,0.0378,0.0387,0.0468,0.0468,0.0468,0.0468,0.0774,0.1125,0.1305,2513.005251,1553.78241,1587.853697,1595.615068,1902.503208,2914.265258,2560.217917,3145.531228,1843.719656,2533.72453,2873.520093,2185.331201,1472.259604,2023.33424,2341.414114,1514.102352,1994.934874,1993.182307,2038.16117,2847.68065,2622.936377,0.317615412,0.305346926,0.319767811,0.319325159,0.322155079,0.302401886,0.317999561,0.277012486,0.298133578,0.288022414,0.304530929,0.250456287,0.345945602,0.378129894,0.371564086,0.408996802,0.415165296,0.439875794,0.446252973,0.463030412,0.470589266,11.76027754,178.823892,644.3954893,8.161232,18468.86085,WG,74.32439,15.56943,224.1368421,179.0975944
15,Bhoramdev WLS,2001,0,0,19,355990513.8,246.6321741,0.066970588,0.091270588,0.119795294,0.172327059,0.28302353,0.384074118,0.604492942,0.678405883,0.750600001,0.763884707,0.917936472,0.926036472,0.928468237,0.940168237,0.947368237,0.948268237,0.948268237,0.952768237,0.959968237,0.959968237,1042.452053,1604.065134,1273.675016,1760.876815,1432.873846,1787.777516,1265.955833,1541.74343,1354.579847,1440.003912,1552.43682,1567.230376,1639.561142,1887.734168,1364.019297,1177.345098,1417.935316,1189.525303,1312.463737,1489.337307,1649.93154,0.294272201,0.312794905,0.318627512,0.325979277,0.335627386,0.336736888,0.348273976,0.342932955,0.357066973,0.383127589,0.372074404,0.349947862,0.348931997,0.370930748,0.364737454,0.379639615,0.397206985,0.406048806,0.425572529,0.43956617,0.431330991,8.109770409,174.2070074,710.6649446,2.526442831,36866.66983,CEEG,81.04971,22.09133,270,171.2337211
16,Biligiri Rangaswamy Temple (B.R.T.) WLS/Tiger Reserve,2011,1,2011,9,552243701.9,400.6465941,0.0036,0.0063,0.0243,0.0432,0.0567,0.0801,0.1188,0.1386,0.144,0.144,0.1665,0.2106,0.2205,0.252,0.2601,0.2619,0.2781,0.3312,0.408028235,0.435028235,1335.178106,1216.05516,943.800683,966.12747,1401.378428,1561.354187,1249.766938,1398.83799,1181.920106,1045.02144,1546.647952,1400.065947,1161.106336,998.2516488,1039.313374,1303.443497,686.8163879,1301.265137,1177.766023,1162.561013,1174.151414,0.746351723,0.697188715,0.710779338,0.644115852,0.690052547,0.709383879,0.635634701,0.727752275,0.656275557,0.635598157,0.698554541,0.645507024,0.603258663,0.641767567,0.712785925,0.669438896,0.655205603,0.707704999,0.702995415,0.731336898,0.739575733,12.92985878,187.6695752,1063.425643,11.61665564,37306.47845,WG,77.15757,11.93203,243.787234,134.788829
17,Bor WLS,1970,1,2012,50,186096084.8,7.174454118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996.4084542,1184.093058,1012.99409,1248.53573,915.9434881,1416.09806,1421.060057,1254.857939,1080.417144,1066.613009,1720.466355,1218.45801,1308.376218,1601.506337,927.3408197,1175.225751,1128.495198,1141.958942,1184.241034,1313.319145,1442.837736,0.998289823,0.912958919,0.975843212,0.890977559,1.016943108,0.970469056,0.977542492,0.998700926,0.937511673,0.795251997,0.778523098,0.796915477,0.738167247,0.778732062,0.820257586,0.78830709,0.785278237,0.788120353,0.808101486,0.812409369,0.800548689,5.516464014,176.4466703,416.86841,6.259230299,16367.26428,CEEG,78.67402,20.98711,127.930131,69.47777563
18,Bori WLS,1977,0,0,43,652543572.2,296.9555082,0.017241176,0.019941176,0.022641176,0.028651764,0.028651764,0.060483529,0.061383529,0.068583529,0.069483529,0.072183529,0.072183529,0.079383529,0.144183529,0.163083529,0.163083529,0.163083529,0.163083529,0.163083529,0.163083529,0.163083529,1304.804197,1082.985329,1404.273507,1818.845965,1125.002144,1832.606115,1824.434412,1551.912883,1349.840399,1764.859214,1802.523635,1675.367308,1651.024563,2329.408886,1323.619763,1403.399142,2029.673152,1344.827025,1535.265891,2295.586611,1763.931187,0.500508407,0.479892275,0.455331085,0.482960841,0.446991144,0.466740924,0.492248578,0.477792974,0.48439723,0.482911987,0.481440343,0.406062722,0.43508387,0.418696621,0.457066077,0.46492273,0.423298228,0.443652773,0.561374841,0.623281538,0.670068165,5.091201806,170.1465986,433.0654822,2.515489231,59017.90025,CEEG,78.0707,22.44063,164.0459492,133.405569
19,Brahmagiri WLS,1974,0,0,46,189387250.8,179.8107565,0.0054,0.015056471,0.025856471,0.036652942,0.038452942,0.050152942,0.050152942,0.059389413,0.066589413,0.086145884,0.090645884,0.096045884,0.111345884,0.11587059,0.11587059,0.11587059,0.147172943,0.340687061,0.37495059,0.410188237,2727.346209,2621.830742,2392.531011,2554.223772,2952.120888,3351.288556,3259.053281,3531.50934,2942.140537,3270.350817,3357.961183,3368.287672,2859.547108,2881.457538,2735.489526,2327.088838,1812.135543,2612.098116,3276.927749,2864.295583,2839.200741,0.325529427,0.40727016,0.386980486,0.40751987,0.38098107,0.376403288,0.376964991,0.378260203,0.394064258,0.390640631,0.336098966,0.357639352,0.385712251,0.379346541,0.419433932,0.413340268,0.41390882,0.434868762,0.431058003,0.435112298,0.444870425,16.3054812,182.8602759,884.9476049,8.528333972,6862.346395,WG,75.87569,12.02329,533.1733333,265.0348681
20,Buxa National Park,1986,1,2009,34,384782801.7,351.5653271,0.215350588,0.71633647,0.955249411,1.147898823,1.489951764,1.926134117,3.534285882,4.748562353,5.155715294,7.099383529,7.311067058,7.678909411,7.72313647,7.978817646,7.997717646,8.191111764,8.681894117,8.853794117,8.951707058,8.976455293,3378.790038,2960.374939,2992.088331,3031.220069,2946.590197,2992.861098,2542.806926,3146.201049,2864.907548,3316.424346,3157.920401,2540.189675,3424.888344,2648.013393,2512.464807,2837.389034,3055.330544,3025.85217,2381.502828,2780.954198,3433.353039,0.981434736,1.053810829,1.06060201,1.114596913,1.168445622,1.123639184,1.222938223,1.20408514,1.136540601,1.193809745,1.128900133,1.188845926,1.102086841,1.254863123,0.96494051,1.075629131,1.065277606,1.097139178,1.11695364,1.135142167,1.14297838,8.483072757,179.1296988,312.238734,8.604475,20831.10041,SGNEBF,89.61261,26.69113,172.7485265,212.2877715
21,Cauvery North WLS,2014,0,0,6,1207364007,313.3341741,0,0.009,0.0306,0.062604706,0.070704706,0.086904706,0.113904706,0.121104706,0.123804706,0.125601177,0.198162353,0.218061177,0.230512942,0.291712942,0.379012942,0.480712942,0.506812942,0.673312942,0.924412942,0.924532942,1368.625557,1100.138475,952.1139249,904.6258802,1380.275438,1484.687532,1064.784192,1536.773571,1251.427995,1058.664704,1515.014632,1443.451247,1184.197352,987.8121194,1147.099067,1216.389888,759.0150003,1398.098167,1161.694558,1197.019123,1190.974794,0.595210532,0.615168336,0.643332737,0.632401538,0.631886369,0.642555717,0.624384377,0.675840785,0.659947158,0.656237514,0.703856691,0.662371955,0.612624508,0.642017593,0.657529484,0.638797514,0.646269358,0.641338474,0.665301393,0.683796513,0.577168334,11.18210936,181.4305683,675.3277196,9.992150619,88481.62931,WG,77.77647,12.30121,226.0547471,69.86409076
22,Cauvery WLS,1987,0,0,33,1107416847,181.4585294,0.0063,0.016485882,0.053385882,0.095181176,0.115881176,0.292898823,0.318098823,0.335198823,0.354098823,0.356068235,0.399268235,0.575724706,0.575724706,0.577524706,0.577524706,0.577524706,0.577524706,0.577524706,0.577524706,0.584724706,1222.653396,1043.423159,898.996293,825.7162406,1256.81729,1417.292607,1007.398386,1347.424245,1126.217105,1009.283625,1379.617738,1230.814983,1021.008987,919.6349955,1063.378021,1167.663982,667.2338137,1276.79966,1118.646928,1090.473228,1104.985515,0.589079869,0.618760398,0.640390879,0.601757351,0.590324108,0.646460169,0.61395191,0.59636047,0.63841236,0.614977393,0.62820117,0.610926851,0.586430977,0.599141396,0.634695292,0.588361124,0.578974311,0.587268101,0.586218089,0.6103925,0.551112424,11.29658521,173.8167114,589.1282381,10.04728542,21038.59116,WG,77.45712,12.21468,232.0946253,62.69180955
23,Chaprala WLS,1986,0,0,34,116975108.9,12.98416235,0.0045,0.0387,0.0819,0.1647,0.1647,0.1665,0.1701,0.1791,0.2061,0.2061,0.2097,0.2151,0.2169,0.2169,0.2169,0.2169,0.2169,0.2169,0.2169,0.2169,1223.078609,1526.200326,987.6442622,1484.374909,1172.843215,1459.042292,1491.129929,1431.62476,1355.616331,1094.079314,1727.600636,1242.141517,1580.879567,1638.057439,1243.272557,1208.640014,1662.809738,1273.466967,1369.072059,1693.733085,1593.804555,0.628017968,0.660202282,0.672712317,0.652761415,0.579067282,0.642301205,0.614087273,0.582240346,0.607457776,0.697645567,0.658004806,0.619406069,0.664949021,0.638854958,0.690196771,0.737549398,0.75502723,0.768685267,0.815345581,0.833133849,0.798277903,1.062234585,177.2474032,171.4879823,3.559812,38445.51967,CEEG,79.85118,19.62352,151.5410959,77.90856719
24,Chimmony WLS,1984,0,0,36,80685719.49,72.59234471,0,9.00E-04,0.0405,0.0405,0.0477,0.0486,0.1008,0.1143,0.1251,0.1251,0.1377,0.1674,0.1728,0.2124,0.2124,0.2124,0.2124,0.2277,0.2295,0.2295,2718.269357,2894.151824,2251.052324,2382.584464,2935.203455,3067.74266,3257.542867,3690.680819,2815.870221,2645.671312,3460.097765,3362.178137,2539.142114,2793.151927,2547.743898,2466.920658,1772.78814,3060.510831,3496.85095,2891.825851,2764.91421,0.520860624,0.539214137,0.609724678,0.456410553,0.622036751,0.48348081,0.46224889,0.442619602,0.464051792,0.431396149,0.434199679,0.351484027,0.561723514,0.664660879,0.576157907,0.730977345,0.574294358,0.580216676,0.61501295,0.644542239,0.672595923,17.63926707,178.3581857,315.8683354,18.1774,0,WG,76.48691,10.44334,439.2040816,264.5103846
25,Chinnar WLS,1984,0,0,36,108045586.8,81.86727882,0.005244706,0.026982353,0.044982353,0.069582353,0.071382353,0.093882353,0.115750588,0.132850588,0.139150588,0.139150588,0.247595294,0.281304706,0.325404706,0.503209412,0.565309412,0.584209412,0.587767059,0.596767059,0.629167059,0.729067059,1683.54194,1730.020613,1290.849522,1377.268607,1588.315479,2019.785865,1907.200641,1945.649909,1757.90337,1670.451893,2241.449306,1834.941502,1655.945038,1180.222697,1415.499253,1568.574212,884.1148327,1446.399457,1450.65084,1324.797019,1551.988621,0.607910843,0.617713459,0.61292784,0.614056319,0.630140805,0.621205845,0.667772891,0.707316843,0.625157199,0.626471775,0.571173973,0.652431825,0.57254114,0.681192518,0.755510884,0.694824903,0.751374536,0.780632964,0.772962936,0.770258168,0.778839567,20.38736547,174.0686306,1123.592879,9.755681,9842.297146,WG,77.19862,10.30295,290.627907,168.8514684
26,Corbett Tiger Reserve,1936,1,2010,84,954363993.3,788.9791659,0.0666,0.1251,0.1422,0.3609,0.5877,0.712334118,0.808634118,0.930049412,1.099249412,2.200634118,2.333961177,2.564195295,2.616395295,2.618195295,2.618195295,2.622695295,2.622695295,2.624495295,2.624495295,2.656895295,1211.655271,846.7559982,940.0590767,1043.003566,1005.169211,1086.643024,938.5604621,1309.381562,1156.584794,1330.170578,1734.947663,1997.808228,1525.833524,1996.550363,1339.484804,1489.363396,1412.691551,1721.014587,1794.696874,1478.83284,1441.019251,0.403152257,0.397155925,0.402555116,0.397462652,0.382478952,0.381253763,0.401222251,0.380631799,0.387456326,0.391615095,0.3619142,0.36020506,0.369710651,0.36451574,0.36885728,0.331957839,0.361774881,0.388632793,0.402128395,0.432848308,0.422210585,11.88250826,172.8614257,528.7137199,6.352594595,68227.71743,CEEG,78.80504,29.57988,184.6964706,282.2495591
27,Cotigaon WLS,1968,0,0,52,100436508,97.17482824,9.00E-04,0.0036,0.013937647,0.021137647,0.034637647,0.036437647,0.040937647,0.046337647,0.05442,0.05442,0.05712,0.06162,0.06342,0.06792,0.08052,0.09492,0.15342,0.23802,0.29382,0.30192,3556.804578,2304.192074,2245.444227,2432.151641,2735.08213,3486.341338,3316.00029,3828.54363,2880.761498,3315.390664,3729.614748,3730.922913,2291.327215,2874.028009,3393.355719,2564.980613,3029.093033,2821.509692,3039.531485,4467.826994,3816.286003,0.21209745,0.206889653,0.204941402,0.216612839,0.243560892,0.231965519,0.232258262,0.248778711,0.224298213,0.216891878,0.207615842,0.210167787,0.240684102,0.238877943,0.229338531,0.211501918,0.201253227,0.200029496,0.206502272,0.212754936,0.198262674,11.19144346,191.1634735,231.1840894,4.803814451,0,WG,74.19424,14.98647,422.9917355,238.5553499
28,Dalma WLS,1976,0,0,44,140317067.2,35.71602,0,0.0018,0.0036,0.0045,0.0045,0.008022353,0.008022353,0.026922353,0.030522353,0.031422353,0.031422353,0.058422353,0.058422353,0.059322353,0.059322353,0.059322353,0.060222353,0.060222353,0.070122353,0.070122353,1076.075216,1312.517801,1218.410474,1317.699518,1325.958998,1159.493644,1658.009136,1825.183164,1687.337643,1271.30207,902.3472883,1472.654594,1344.169377,1764.056498,1360.229551,1220.249572,1587.465233,1821.291781,1382.284769,1299.352403,1656.217918,1.789747334,1.887245491,1.853208374,1.995880489,2.15493086,2.075509229,2.176189157,2.431289203,2.200954429,1.864665841,1.95911254,2.08835342,2.092269078,2.285603739,2.404646336,2.580175129,2.567499768,2.707000896,2.688715386,2.761532273,2.945717439,12.80784347,171.424742,348.1672001,7.059763,4729.428525,CEEG,86.20737,22.90279,105.9767442,99.67991452
