state,year,age,cervix_adj
Arkansas,2019,30-34,12.57
Arkansas,2003,35-39,18.36
Arkansas,2004,35-39,22.15
Arkansas,2005,35-39,21.15
Arkansas,2006,35-39,18.57
Arkansas,2007,35-39,16.21
Arkansas,2008,35-39,21.5
Arkansas,2009,35-39,23.69
Arkansas,2010,35-39,19.6
Arkansas,2011,35-39,9.99
Arkansas,2012,35-39,13.45
Arkansas,2013,35-39,15.63
Arkansas,2014,35-39,21.06
Arkansas,2015,35-39,15.25
Arkansas,2016,35-39,16.0
Arkansas,2017,35-39,7.38
Arkansas,2018,35-39,17.75
Arkansas,2019,35-39,9.35
Arkansas,2003,40-44,18.76
Arkansas,2004,40-44,22.53
Arkansas,2005,40-44,19.69
Arkansas,2006,40-44,16.99
Arkansas,2007,40-44,23.5
Arkansas,2008,40-44,21.07
Arkansas,2009,40-44,20.6
Arkansas,2010,40-44,26.21
Arkansas,2011,40-44,18.29
Arkansas,2012,40-44,26.65
Arkansas,2013,40-44,22.37
Arkansas,2014,40-44,22.57
Arkansas,2015,40-44,19.63
Arkansas,2016,40-44,17.9
Arkansas,2017,40-44,20.25
Arkansas,2018,40-44,20.23
Arkansas,2019,40-44,22.29
Arkansas,2003,45-49,15.15
Arkansas,2004,45-49,22.09
Arkansas,2005,45-49,17.84
Arkansas,2006,45-49,20.5
Arkansas,2007,45-49,17.57
Arkansas,2008,45-49,16.42
Arkansas,2009,45-49,22.97
Arkansas,2010,45-49,21.21
Arkansas,2011,45-49,22.8
Arkansas,2012,45-49,22.49
Arkansas,2013,45-49,16.92
Arkansas,2014,45-49,19.65
Arkansas,2015,45-49,23.15
Arkansas,2016,45-49,18.51
Arkansas,2017,45-49,14.05
Arkansas,2018,45-49,25.88
Arkansas,2019,45-49,22.76
California,2003,20-24,0.8
California,2004,20-24,1.11
California,2005,20-24,1.74
California,2006,20-24,1.51
California,2007,20-24,1.66
California,2008,20-24,1.48
California,2009,20-24,1.3
California,2010,20-24,1.27
California,2011,20-24,0.87
California,2012,20-24,0.86
California,2013,20-24,0.85
California,2014,20-24,0.93
California,2015,20-24,0.8
California,2016,20-24,1.04
California,2017,20-24,0.38
California,2018,20-24,0.61
California,2019,20-24,0.24
California,2003,30-34,9.86
California,2004,30-34,10.78
California,2005,30-34,10.13
California,2006,30-34,9.96
California,2007,30-34,9.8
California,2008,30-34,13.43
California,2009,30-34,8.57
California,2010,30-34,9.81
California,2011,30-34,9.24
California,2012,30-34,11.56
California,2013,30-34,8.3
California,2014,30-34,9.05
California,2015,30-34,8.82
California,2016,30-34,10.4
California,2017,30-34,12.08
California,2018,30-34,10.63
California,2019,30-34,11.75
California,2003,35-39,11.46
California,2004,35-39,13.26
California,2005,35-39,15.35
California,2006,35-39,14.59
California,2007,35-39,14.2
California,2008,35-39,14.6
California,2009,35-39,13.77
California,2010,35-39,12.44
California,2011,35-39,11.38
California,2012,35-39,13.4
California,2013,35-39,12.08
California,2014,35-39,11.67
California,2015,35-39,12.41
California,2016,35-39,13.85
California,2017,35-39,13.46
California,2018,35-39,14.79
California,2019,35-39,13.21
California,2003,40-44,17.48
California,2004,40-44,15.05
California,2005,40-44,14.32
California,2006,40-44,17.55
California,2007,40-44,16.92
California,2008,40-44,14.71
California,2009,40-44,14.56
California,2010,40-44,15.4
California,2011,40-44,13.71
California,2012,40-44,14.36
California,2013,40-44,13.57
California,2014,40-44,12.33
California,2015,40-44,15.2
California,2016,40-44,14.97
California,2017,40-44,13.76
California,2018,40-44,14.34
California,2019,40-44,14.88
California,2003,45-49,15.14
California,2004,45-49,14.01
California,2005,45-49,14.25
California,2006,45-49,12.76
California,2007,45-49,17.06
California,2008,45-49,14.59
California,2009,45-49,14.04
California,2010,45-49,14.14
California,2011,45-49,14.58
California,2012,45-49,13.11
California,2013,45-49,12.58
California,2014,45-49,13.15
California,2015,45-49,13.78
California,2016,45-49,12.96
California,2017,45-49,12.73
California,2018,45-49,14.94
California,2019,45-49,14.8
Colorado,2003,20-24,2.5
Colorado,2004,20-24,1.24
Colorado,2005,20-24,1.85
Colorado,2006,20-24,1.83
Colorado,2007,20-24,2.45
Colorado,2008,20-24,1.22
Colorado,2009,20-24,2.42
Colorado,2010,20-24,2.39
Colorado,2011,20-24,1.76
Colorado,2012,20-24,0.58
Colorado,2013,20-24,0.57
Colorado,2014,20-24,0.56
Colorado,2015,20-24,0.0
Colorado,2016,20-24,1.12
Colorado,2017,20-24,0.56
Colorado,2018,20-24,0.56
Colorado,2019,20-24,0.0
Colorado,2003,30-34,10.12
Colorado,2004,30-34,6.63
Colorado,2005,30-34,9.21
Colorado,2006,30-34,9.94
Colorado,2007,30-34,9.25
Colorado,2008,30-34,12.11
Colorado,2009,30-34,7.7
Colorado,2010,30-34,5.76
Colorado,2011,30-34,6.14
Colorado,2012,30-34,7.05
Colorado,2013,30-34,7.4
Colorado,2014,30-34,12.94
Colorado,2015,30-34,10.61
Colorado,2016,30-34,6.42
Colorado,2017,30-34,9.24
Colorado,2018,30-34,8.59
Colorado,2019,30-34,9.36
Colorado,2003,35-39,8.45
Colorado,2004,35-39,15.33
Colorado,2005,35-39,13.34
Colorado,2006,35-39,17.78
Colorado,2007,35-39,11.01
Colorado,2008,35-39,10.91
Colorado,2009,35-39,16.75
Colorado,2010,35-39,13.47
Colorado,2011,35-39,8.92
Colorado,2012,35-39,10.05
Colorado,2013,35-39,8.13
Colorado,2014,35-39,10.2
Colorado,2015,35-39,12.03
Colorado,2016,35-39,11.07
Colorado,2017,35-39,11.25
Colorado,2018,35-39,11.42
Colorado,2019,35-39,11.2
Colorado,2003,40-44,11.16
Colorado,2004,40-44,12.35
Colorado,2005,40-44,9.81
Colorado,2006,40-44,16.22
Colorado,2007,40-44,16.66
Colorado,2008,40-44,7.62
Colorado,2009,40-44,10.04
Colorado,2010,40-44,14.03
Colorado,2011,40-44,13.75
Colorado,2012,40-44,9.05
Colorado,2013,40-44,12.96
Colorado,2014,40-44,12.5
Colorado,2015,40-44,11.45
Colorado,2016,40-44,13.31
Colorado,2017,40-44,15.56
Colorado,2018,40-44,15.24
Colorado,2019,40-44,9.93
Colorado,2003,45-49,12.2
Colorado,2004,45-49,11.57
Colorado,2005,45-49,14.07
Colorado,2006,45-49,13.33
Colorado,2007,45-49,11.65
Colorado,2008,45-49,10.04
Colorado,2009,45-49,9.0
Colorado,2010,45-49,10.25
Colorado,2011,45-49,8.36
Colorado,2012,45-49,9.74
Colorado,2013,45-49,10.52
Colorado,2014,45-49,11.2
Colorado,2015,45-49,12.21
Colorado,2016,45-49,14.21
Colorado,2017,45-49,11.22
Colorado,2018,45-49,10.65
Colorado,2019,45-49,9.62
Connecticut,2003,20-24,1.03
Connecticut,2004,20-24,5.05
Connecticut,2005,20-24,2.95
Connecticut,2006,20-24,0.0
Connecticut,2007,20-24,1.89
Connecticut,2008,20-24,0.94
Connecticut,2009,20-24,0.91
Connecticut,2010,20-24,1.8
Connecticut,2011,20-24,0.9
Connecticut,2012,20-24,0.89
Connecticut,2013,20-24,0.88
Connecticut,2014,20-24,0.0
Connecticut,2015,20-24,1.69
Connecticut,2016,20-24,0.0
Connecticut,2017,20-24,0.0
Connecticut,2018,20-24,0.0
Connecticut,2019,20-24,0.0
Connecticut,2003,30-34,7.52
Connecticut,2004,30-34,13.93
Connecticut,2005,30-34,10.97
Connecticut,2006,30-34,9.5
Connecticut,2007,30-34,4.85
Connecticut,2008,30-34,4.88
Connecticut,2009,30-34,10.6
Connecticut,2010,30-34,11.48
Connecticut,2011,30-34,8.46
Connecticut,2012,30-34,13.84
Connecticut,2013,30-34,11.85
Connecticut,2014,30-34,8.18
Connecticut,2015,30-34,9.07
Connecticut,2016,30-34,7.21
Connecticut,2017,30-34,9.0
Connecticut,2018,30-34,11.6
Connecticut,2019,30-34,9.83
Connecticut,2003,35-39,7.91
Connecticut,2004,35-39,13.36
Connecticut,2005,35-39,9.84
Connecticut,2006,35-39,7.72
Connecticut,2007,35-39,13.4
Connecticut,2008,35-39,13.8
Connecticut,2009,35-39,10.16
Connecticut,2010,35-39,10.66
Connecticut,2011,35-39,12.96
Connecticut,2012,35-39,9.41
Connecticut,2013,35-39,19.87
Connecticut,2014,35-39,9.39
Connecticut,2015,35-39,9.27
Connecticut,2016,35-39,16.44
Connecticut,2017,35-39,7.22
Connecticut,2018,35-39,9.78
Connecticut,2019,35-39,13.25
Connecticut,2003,40-44,13.25
Connecticut,2004,40-44,8.6
Connecticut,2005,40-44,8.03
Connecticut,2006,40-44,9.51
Connecticut,2007,40-44,16.02
Connecticut,2008,40-44,7.12
Connecticut,2009,40-44,10.98
Connecticut,2010,40-44,10.47
Connecticut,2011,40-44,17.48
Connecticut,2012,40-44,16.36
Connecticut,2013,40-44,14.5
Connecticut,2014,40-44,11.75
Connecticut,2015,40-44,12.31
Connecticut,2016,40-44,15.6
Connecticut,2017,40-44,8.4
Connecticut,2018,40-44,8.44
Connecticut,2019,40-44,6.5
Connecticut,2003,45-49,11.29
Connecticut,2004,45-49,6.23
Connecticut,2005,45-49,12.21
Connecticut,2006,45-49,9.37
Connecticut,2007,45-49,10.0
Connecticut,2008,45-49,6.67
Connecticut,2009,45-49,8.65
Connecticut,2010,45-49,10.05
Connecticut,2011,45-49,11.6
Connecticut,2012,45-49,11.16
Connecticut,2013,45-49,10.02
Connecticut,2014,45-49,12.55
Connecticut,2015,45-49,9.83
Connecticut,2016,45-49,5.41
Connecticut,2017,45-49,6.33
Connecticut,2018,45-49,11.4
Connecticut,2019,45-49,5.94
Florida,2003,20-24,0.94
Florida,2004,20-24,2.36
Florida,2005,20-24,1.95
Florida,2006,20-24,1.22
Florida,2007,20-24,1.55
Florida,2008,20-24,1.87
Florida,2009,20-24,1.18
Florida,2010,20-24,0.49
Florida,2011,20-24,1.27
Florida,2012,20-24,1.56
Florida,2013,20-24,2.02
Florida,2014,20-24,1.87
Florida,2015,20-24,1.11
Florida,2016,20-24,1.13
Florida,2017,20-24,0.49
Florida,2018,20-24,1.14
Florida,2019,20-24,0.16
Florida,2003,30-34,15.1
Florida,2004,30-34,10.57
Florida,2005,30-34,13.84
Florida,2006,30-34,11.33
Florida,2007,30-34,9.08
Florida,2008,30-34,13.35
Florida,2009,30-34,9.54
Florida,2010,30-34,11.47
Florida,2011,30-34,11.2
Florida,2012,30-34,9.88
Florida,2013,30-34,10.5
Florida,2014,30-34,10.91
Florida,2015,30-34,12.92
Florida,2016,30-34,14.82
Florida,2017,30-34,10.43
Florida,2018,30-34,13.57
Florida,2019,30-34,11.65
Florida,2003,35-39,15.89
Florida,2004,35-39,18.91
Florida,2005,35-39,15.01
Florida,2006,35-39,18.55
Florida,2007,35-39,17.55
Florida,2008,35-39,18.01
Florida,2009,35-39,20.1
Florida,2010,35-39,13.89
Florida,2011,35-39,17.55
Florida,2012,35-39,15.02
Florida,2013,35-39,15.27
Florida,2014,35-39,14.87
Florida,2015,35-39,16.76
Florida,2016,35-39,18.59
Florida,2017,35-39,14.17
Florida,2018,35-39,17.32
Florida,2019,35-39,17.76
Florida,2003,40-44,20.8
Florida,2004,40-44,17.36
Florida,2005,40-44,19.63
Florida,2006,40-44,21.79
Florida,2007,40-44,17.31
Florida,2008,40-44,17.45
Florida,2009,40-44,20.48
Florida,2010,40-44,17.48
Florida,2011,40-44,19.26
Florida,2012,40-44,17.89
Florida,2013,40-44,16.77
Florida,2014,40-44,16.35
Florida,2015,40-44,18.87
Florida,2016,40-44,20.53
Florida,2017,40-44,18.39
Florida,2018,40-44,16.16
Florida,2019,40-44,21.15
Florida,2003,45-49,17.71
Florida,2004,45-49,17.6
Florida,2005,45-49,22.07
Florida,2006,45-49,17.4
Florida,2007,45-49,19.95
Florida,2008,45-49,17.64
Florida,2009,45-49,20.71
Florida,2010,45-49,17.08
Florida,2011,45-49,16.8
Florida,2012,45-49,16.2
Florida,2013,45-49,16.83
Florida,2014,45-49,17.91
Florida,2015,45-49,17.89
Florida,2016,45-49,16.69
Florida,2017,45-49,18.86
Florida,2018,45-49,17.92
Florida,2019,45-49,17.11
Georgia,2003,20-24,2.54
Georgia,2004,20-24,1.57
Georgia,2005,20-24,0.95
Georgia,2006,20-24,0.94
Georgia,2007,20-24,1.86
Georgia,2008,20-24,1.23
Georgia,2009,20-24,1.21
Georgia,2010,20-24,0.89
Georgia,2011,20-24,1.45
Georgia,2012,20-24,1.97
Georgia,2013,20-24,0.28
Georgia,2014,20-24,1.68
Georgia,2015,20-24,0.0
Georgia,2016,20-24,0.57
Georgia,2017,20-24,0.57
Georgia,2018,20-24,0.0
Georgia,2019,20-24,0.86
Georgia,2003,30-34,12.34
Georgia,2004,30-34,11.85
Georgia,2005,30-34,12.56
Georgia,2006,30-34,10.31
Georgia,2007,30-34,11.56
Georgia,2008,30-34,9.72
Georgia,2009,30-34,13.23
Georgia,2010,30-34,10.63
Georgia,2011,30-34,9.88
Georgia,2012,30-34,10.65
Georgia,2013,30-34,10.29
Georgia,2014,30-34,10.83
Georgia,2015,30-34,11.11
Georgia,2016,30-34,10.48
Georgia,2017,30-34,16.32
Georgia,2018,30-34,9.47
Georgia,2019,30-34,16.33
Georgia,2003,35-39,16.02
Georgia,2004,35-39,12.94
Georgia,2005,35-39,14.28
Georgia,2006,35-39,13.87
Georgia,2007,35-39,17.45
Georgia,2008,35-39,15.88
Georgia,2009,35-39,16.01
Georgia,2010,35-39,13.51
Georgia,2011,35-39,13.64
Georgia,2012,35-39,16.78
Georgia,2013,35-39,10.64
Georgia,2014,35-39,14.66
Georgia,2015,35-39,14.12
Georgia,2016,35-39,15.75
Georgia,2017,35-39,15.5
Georgia,2018,35-39,12.01
Georgia,2019,35-39,16.8
Georgia,2003,40-44,18.78
Georgia,2004,40-44,13.47
Georgia,2005,40-44,13.57
Georgia,2006,40-44,15.73
Georgia,2007,40-44,15.47
Georgia,2008,40-44,15.03
Georgia,2009,40-44,15.74
Georgia,2010,40-44,13.18
Georgia,2011,40-44,14.91
Georgia,2012,40-44,14.76
Georgia,2013,40-44,16.08
Georgia,2014,40-44,17.3
Georgia,2015,40-44,16.7
Georgia,2016,40-44,16.52
Georgia,2017,40-44,17.25
Georgia,2018,40-44,16.98
Georgia,2019,40-44,19.37
Georgia,2003,45-49,14.52
Georgia,2004,45-49,14.52
Georgia,2005,45-49,14.71
Georgia,2006,45-49,15.48
Georgia,2007,45-49,12.92
Georgia,2008,45-49,16.03
Georgia,2009,45-49,11.98
Georgia,2010,45-49,12.98
Georgia,2011,45-49,11.19
Georgia,2012,45-49,15.2
Georgia,2013,45-49,12.9
Georgia,2014,45-49,15.29
Georgia,2015,45-49,13.79
Georgia,2016,45-49,11.59
Georgia,2017,45-49,10.89
Georgia,2018,45-49,17.31
Georgia,2019,45-49,13.57
Idaho,2003,20-24,3.95
Idaho,2004,20-24,1.94
Idaho,2005,20-24,1.92
Idaho,2006,20-24,0.0
Idaho,2007,20-24,0.0
Idaho,2008,20-24,1.88
Idaho,2009,20-24,0.0
Idaho,2010,20-24,0.0
Idaho,2011,20-24,0.0
Idaho,2012,20-24,0.0
Idaho,2013,20-24,1.81
Idaho,2014,20-24,3.66
Idaho,2015,20-24,1.86
Idaho,2016,20-24,0.0
Idaho,2017,20-24,1.83
Idaho,2018,20-24,0.0
Idaho,2019,20-24,1.77
Idaho,2003,30-34,6.94
Idaho,2004,30-34,4.6
Idaho,2005,30-34,11.33
Idaho,2006,30-34,13.5
Idaho,2007,30-34,6.5
Idaho,2008,30-34,12.76
Idaho,2009,30-34,8.2
Idaho,2010,30-34,3.98
Idaho,2011,30-34,5.84
Idaho,2012,30-34,7.71
Idaho,2013,30-34,5.69
Idaho,2014,30-34,7.54
Idaho,2015,30-34,7.5
Idaho,2016,30-34,11.13
Idaho,2017,30-34,9.11
Idaho,2018,30-34,12.59
Idaho,2019,30-34,13.99
Idaho,2003,35-39,16.04
Idaho,2004,35-39,13.77
Idaho,2005,35-39,13.49
Idaho,2006,35-39,17.34
Idaho,2007,35-39,4.24
Idaho,2008,35-39,10.42
Idaho,2009,35-39,4.17
Idaho,2010,35-39,25.23
Idaho,2011,35-39,16.94
Idaho,2012,35-39,16.75
Idaho,2013,35-39,18.42
Idaho,2014,35-39,13.9
Idaho,2015,35-39,11.57
Idaho,2016,35-39,27.81
Idaho,2017,35-39,21.47
Idaho,2018,35-39,13.91
Idaho,2019,35-39,8.49
Idaho,2003,40-44,6.04
Idaho,2004,40-44,10.04
Idaho,2005,40-44,10.1
Idaho,2006,40-44,12.27
Idaho,2007,40-44,6.22
Idaho,2008,40-44,12.72
Idaho,2009,40-44,6.42
Idaho,2010,40-44,8.52
Idaho,2011,40-44,12.56
Idaho,2012,40-44,10.37
Idaho,2013,40-44,8.27
Idaho,2014,40-44,12.4
Idaho,2015,40-44,8.27
Idaho,2016,40-44,12.36
Idaho,2017,40-44,8.03
Idaho,2018,40-44,21.18
Idaho,2019,40-44,22.16
Idaho,2003,45-49,14.12
Idaho,2004,45-49,13.97
Idaho,2005,45-49,15.65
Idaho,2006,45-49,22.97
Idaho,2007,45-49,13.3
Idaho,2008,45-49,1.9
Idaho,2009,45-49,7.59
Idaho,2010,45-49,17.4
Idaho,2011,45-49,17.96
Idaho,2012,45-49,6.17
Idaho,2013,45-49,6.34
Idaho,2014,45-49,10.64
Idaho,2015,45-49,10.56
Idaho,2016,45-49,18.51
Idaho,2017,45-49,22.15
Idaho,2018,45-49,15.86
Idaho,2019,45-49,11.82
Illinois,2003,20-24,1.38
Illinois,2004,20-24,0.46
Illinois,2005,20-24,1.84
Illinois,2006,20-24,0.93
Illinois,2007,20-24,1.4
Illinois,2008,20-24,0.47
Illinois,2009,20-24,0.7
Illinois,2010,20-24,0.69
Illinois,2011,20-24,1.15
Illinois,2012,20-24,0.68
Illinois,2013,20-24,0.45
Illinois,2014,20-24,0.67
Illinois,2015,20-24,0.91
Illinois,2016,20-24,0.92
Illinois,2017,20-24,0.47
Illinois,2018,20-24,0.72
Illinois,2019,20-24,1.22
Illinois,2003,30-34,10.15
Illinois,2004,30-34,8.99
Illinois,2005,30-34,10.6
Illinois,2006,30-34,11.34
Illinois,2007,30-34,11.17
Illinois,2008,30-34,10.91
Illinois,2009,30-34,10.31
Illinois,2010,30-34,8.53
Illinois,2011,30-34,6.35
Illinois,2012,30-34,6.5
Illinois,2013,30-34,7.54
Illinois,2014,30-34,10.87
Illinois,2015,30-34,10.07
Illinois,2016,30-34,10.38
Illinois,2017,30-34,10.04
Illinois,2018,30-34,9.68
Illinois,2019,30-34,12.04
Illinois,2003,35-39,17.11
Illinois,2004,35-39,14.86
Illinois,2005,35-39,15.22
Illinois,2006,35-39,13.39
Illinois,2007,35-39,13.39
Illinois,2008,35-39,13.75
Illinois,2009,35-39,12.82
Illinois,2010,35-39,11.7
Illinois,2011,35-39,12.71
Illinois,2012,35-39,10.4
Illinois,2013,35-39,11.09
Illinois,2014,35-39,13.87
Illinois,2015,35-39,12.26
Illinois,2016,35-39,13.05
Illinois,2017,35-39,11.34
Illinois,2018,35-39,10.59
Illinois,2019,35-39,15.0
Illinois,2003,40-44,16.62
Illinois,2004,40-44,13.54
Illinois,2005,40-44,13.99
Illinois,2006,40-44,15.44
Illinois,2007,40-44,13.46
Illinois,2008,40-44,19.34
Illinois,2009,40-44,13.17
Illinois,2010,40-44,14.63
Illinois,2011,40-44,15.67
Illinois,2012,40-44,14.79
Illinois,2013,40-44,12.41
Illinois,2014,40-44,17.77
Illinois,2015,40-44,13.9
Illinois,2016,40-44,16.79
Illinois,2017,40-44,13.25
Illinois,2018,40-44,15.03
Illinois,2019,40-44,12.96
Illinois,2003,45-49,16.05
Illinois,2004,45-49,15.65
Illinois,2005,45-49,14.85
Illinois,2006,45-49,16.37
Illinois,2007,45-49,14.75
Illinois,2008,45-49,18.98
Illinois,2009,45-49,17.83
Illinois,2010,45-49,13.48
Illinois,2011,45-49,16.43
Illinois,2012,45-49,13.07
Illinois,2013,45-49,15.22
Illinois,2014,45-49,14.87
Illinois,2015,45-49,15.25
Illinois,2016,45-49,14.3
Illinois,2017,45-49,11.09
Illinois,2018,45-49,14.84
Illinois,2019,45-49,13.42
Indiana,2003,20-24,2.24
Indiana,2004,20-24,1.34
Indiana,2005,20-24,2.7
Indiana,2006,20-24,0.0
Indiana,2007,20-24,2.27
Indiana,2008,20-24,1.36
Indiana,2009,20-24,0.0
Indiana,2010,20-24,0.89
Indiana,2011,20-24,0.0
Indiana,2012,20-24,0.85
Indiana,2013,20-24,1.26
Indiana,2014,20-24,1.26
Indiana,2015,20-24,0.0
Indiana,2016,20-24,0.43
Indiana,2017,20-24,0.0
Indiana,2018,20-24,0.0
Indiana,2019,20-24,0.0
Indiana,2003,30-34,13.39
Indiana,2004,30-34,16.94
Indiana,2005,30-34,7.88
Indiana,2006,30-34,11.61
Indiana,2007,30-34,10.69
Indiana,2008,30-34,9.1
Indiana,2009,30-34,9.5
Indiana,2010,30-34,9.81
Indiana,2011,30-34,13.01
Indiana,2012,30-34,11.94
Indiana,2013,30-34,12.27
Indiana,2014,30-34,11.82
Indiana,2015,30-34,13.32
Indiana,2016,30-34,13.35
Indiana,2017,30-34,11.48
Indiana,2018,30-34,12.85
Indiana,2019,30-34,18.3
