state,year,cigsale,price
Idaho,1994,93.0,1.635
Idaho,1995,78.2,1.765
Idaho,1996,73.6,1.844
Idaho,1997,75.0,1.871
Idaho,1998,78.9,2.107
Idaho,1999,75.1,2.759
Idaho,2000,66.9,2.911
Illinois,1970,124.8,0.414
Illinois,1971,125.6,0.419
Illinois,1972,126.6,0.41
Illinois,1973,124.4,0.419
Illinois,1974,131.9,0.452
Illinois,1975,131.8,0.484
Illinois,1976,134.4,0.494
Illinois,1977,134.0,0.546
Illinois,1978,136.7,0.568
Illinois,1979,135.3,0.6
Illinois,1980,135.2,0.631
Illinois,1981,133.0,0.696
Illinois,1982,130.7,0.808
Illinois,1983,127.9,0.896
Illinois,1984,124.0,0.967
Illinois,1985,121.6,1.084
Illinois,1986,118.2,1.162
Illinois,1987,109.5,1.241
Illinois,1988,107.6,1.327
Illinois,1989,104.6,1.473
Illinois,1990,94.1,1.54
Illinois,1991,96.1,1.798
Illinois,1992,94.8,1.875
Illinois,1993,94.6,1.821
Illinois,1994,85.7,1.852
Illinois,1995,84.3,1.887
Illinois,1996,81.8,1.987
Illinois,1997,79.6,2.023
Illinois,1998,80.3,2.405
Illinois,1999,72.2,3.127
Illinois,2000,70.0,3.238
Indiana,1970,134.6,0.322
Indiana,1971,139.3,0.325
Indiana,1972,149.2,0.329
Indiana,1973,156.0,0.345
Indiana,1974,159.6,0.367
Indiana,1975,162.4,0.387
Indiana,1976,166.6,0.406
Indiana,1977,173.0,0.5
Indiana,1978,150.9,0.525
Indiana,1979,148.9,0.537
Indiana,1980,146.9,0.583
Indiana,1981,148.5,0.651
Indiana,1982,147.7,0.757
Indiana,1983,143.0,0.852
Indiana,1984,137.8,0.888
Indiana,1985,135.3,0.936
Indiana,1986,137.6,1.001
Indiana,1987,134.0,1.093
Indiana,1988,134.0,1.19
Indiana,1989,132.5,1.308
Indiana,1990,128.3,1.358
Indiana,1991,127.2,1.535
Indiana,1992,128.2,1.575
Indiana,1993,126.8,1.466
Indiana,1994,128.2,1.463
Indiana,1995,135.4,1.478
Indiana,1996,135.1,1.563
Indiana,1997,135.3,1.668
Indiana,1998,135.9,1.9
Indiana,1999,133.3,2.602
Indiana,2000,125.5,2.704
Iowa,1970,108.5,0.385
Iowa,1971,108.4,0.419
Iowa,1972,109.4,0.419
Iowa,1973,110.6,0.432
Iowa,1974,116.1,0.454
Iowa,1975,120.5,0.478
Iowa,1976,124.4,0.494
Iowa,1977,125.5,0.546
Iowa,1978,127.1,0.564
Iowa,1979,124.2,0.588
Iowa,1980,124.6,0.614
Iowa,1981,132.9,0.728
Iowa,1982,116.2,0.84
Iowa,1983,115.6,0.933
Iowa,1984,111.2,0.995
Iowa,1985,109.4,1.048
Iowa,1986,104.1,1.171
Iowa,1987,101.1,1.242
Iowa,1988,100.2,1.451
Iowa,1989,94.4,1.496
Iowa,1990,95.4,1.554
Iowa,1991,97.1,1.785
Iowa,1992,95.2,1.897
Iowa,1993,92.5,1.714
Iowa,1994,93.4,1.79
Iowa,1995,93.0,1.838
Iowa,1996,94.0,1.893
Iowa,1997,93.9,1.938
Iowa,1998,94.0,2.13
Iowa,1999,91.7,2.863
Iowa,2000,88.9,2.994
Kansas,1970,114.0,0.389
Kansas,1971,102.8,0.388
Kansas,1972,111.0,0.393
Kansas,1973,115.2,0.402
Kansas,1974,118.6,0.427
Kansas,1975,123.4,0.466
Kansas,1976,127.7,0.481
Kansas,1977,127.9,0.526
Kansas,1978,127.1,0.548
Kansas,1979,126.4,0.583
Kansas,1980,127.1,0.598
Kansas,1981,132.0,0.651
Kansas,1982,130.9,0.77
Kansas,1983,127.6,0.91
Kansas,1984,121.7,0.975
Kansas,1985,115.7,1.03
Kansas,1986,109.4,1.145
Kansas,1987,105.2,1.239
Kansas,1988,103.2,1.365
Kansas,1989,96.5,1.458
Kansas,1990,94.3,1.457
Kansas,1991,91.8,1.742
Kansas,1992,90.0,1.742
Kansas,1993,89.9,1.596
Kansas,1994,89.1,1.657
Kansas,1995,90.1,1.677
Kansas,1996,88.7,1.713
Kansas,1997,89.2,1.843
Kansas,1998,87.6,2.07
Kansas,1999,83.3,2.712
Kansas,2000,79.8,2.941
Kentucky,1970,155.8,0.301
Kentucky,1971,163.5,0.306
Kentucky,1972,179.4,0.306
Kentucky,1973,201.9,0.315
Kentucky,1974,212.4,0.333
Kentucky,1975,223.0,0.36
Kentucky,1976,230.9,0.369
Kentucky,1977,229.4,0.414
Kentucky,1978,224.7,0.434
Kentucky,1979,214.9,0.463
Kentucky,1980,215.3,0.494
Kentucky,1981,209.7,0.563
Kentucky,1982,210.6,0.664
Kentucky,1983,201.1,0.754
Kentucky,1984,183.2,0.793
Kentucky,1985,182.4,0.854
Kentucky,1986,179.8,0.905
Kentucky,1987,171.2,0.944
Kentucky,1988,173.2,1.038
Kentucky,1989,171.6,1.156
Kentucky,1990,182.5,1.205
Kentucky,1991,170.8,1.358
Kentucky,1992,167.6,1.454
Kentucky,1993,167.6,1.328
Kentucky,1994,170.2,1.348
Kentucky,1995,175.3,1.398
Kentucky,1996,179.0,1.456
Kentucky,1997,186.8,1.557
Kentucky,1998,171.3,1.792
Kentucky,1999,165.3,2.434
Kentucky,2000,156.2,2.586
Louisiana,1970,115.9,0.393
Louisiana,1971,119.8,0.4
Louisiana,1972,125.3,0.399
Louisiana,1973,126.7,0.416
Louisiana,1974,129.9,0.443
Louisiana,1975,133.6,0.481
Louisiana,1976,139.6,0.489
Louisiana,1977,140.0,0.542
Louisiana,1978,142.7,0.571
Louisiana,1979,140.1,0.6
Louisiana,1980,143.8,0.626
Louisiana,1981,144.0,0.703
Louisiana,1982,143.9,0.807
Louisiana,1983,133.7,0.907
Louisiana,1984,128.9,1.03
Louisiana,1985,125.0,1.051
Louisiana,1986,121.2,1.178
Louisiana,1987,116.5,1.204
Louisiana,1988,110.9,1.307
Louisiana,1989,103.6,1.434
Louisiana,1990,101.5,1.496
Louisiana,1991,107.2,1.781
Louisiana,1992,108.5,1.805
Louisiana,1993,106.2,1.574
Louisiana,1994,105.3,1.558
Louisiana,1995,105.7,1.653
Louisiana,1996,106.8,1.669
Louisiana,1997,105.3,1.859
Louisiana,1998,103.2,2.08
Louisiana,1999,101.0,2.812
Louisiana,2000,104.3,2.951
Maine,1970,128.5,0.388
Maine,1971,133.2,0.415
Maine,1972,136.5,0.41
Maine,1973,138.0,0.418
Maine,1974,142.1,0.467
Maine,1975,140.7,0.499
Maine,1976,144.9,0.509
Maine,1977,145.6,0.55
Maine,1978,143.9,0.545
Maine,1979,138.5,0.59
Maine,1980,141.2,0.629
Maine,1981,138.9,0.697
Maine,1982,139.5,0.808
Maine,1983,135.4,0.937
Maine,1984,135.5,0.981
Maine,1985,127.9,1.127
Maine,1986,119.0,1.212
Maine,1987,125.0,1.29
Maine,1988,125.0,1.444
Maine,1989,122.4,1.601
Maine,1990,117.5,1.589
Maine,1991,116.1,1.877
Maine,1992,114.7,1.926
Maine,1993,108.5,1.783
Maine,1994,101.6,1.849
Maine,1995,102.3,1.869
Maine,1996,100.0,1.902
Maine,1997,101.1,2.196
Maine,1998,94.5,2.678
Maine,1999,85.5,3.305
Maine,2000,82.9,3.532
Maryland,1970,123.5,0.342
Maryland,1971,126.7,0.343
Maryland,1972,133.2,0.353
Maryland,1973,137.3,0.358
Maryland,1974,144.8,0.395
Maryland,1975,146.1,0.461
Maryland,1976,137.1,0.492
Maryland,1977,135.7,0.521
Maryland,1978,134.1,0.562
Maryland,1979,131.9,0.581
Maryland,1980,131.5,0.628
Maryland,1981,137.1,0.654
Maryland,1982,131.3,0.749
Maryland,1983,128.2,0.842
Maryland,1984,122.5,0.901
Maryland,1985,121.9,0.933
Maryland,1986,121.8,1.003
Maryland,1987,119.3,1.092
Maryland,1988,115.0,1.202
Maryland,1989,109.0,1.315
Maryland,1990,102.8,1.416
Maryland,1991,97.6,1.591
Maryland,1992,91.7,1.937
Maryland,1993,82.6,1.733
Maryland,1994,80.8,1.763
Maryland,1995,77.1,1.778
Maryland,1996,75.0,1.907
Maryland,1997,72.7,1.973
Maryland,1998,72.0,2.195
Maryland,1999,71.4,3.152
Maryland,2000,57.7,3.449
Massachusetts,1970,124.3,0.41
Massachusetts,1971,121.4,0.46
Massachusetts,1972,117.9,0.46
Massachusetts,1973,121.2,0.463
Massachusetts,1974,124.3,0.494
Massachusetts,1975,126.1,0.574
Massachusetts,1976,116.9,0.573
Massachusetts,1977,118.9,0.618
Massachusetts,1978,120.5,0.645
Massachusetts,1979,118.2,0.682
Massachusetts,1980,120.5,0.708
Massachusetts,1981,123.2,0.781
Massachusetts,1982,122.3,0.887
Massachusetts,1983,119.8,1.014
Massachusetts,1984,116.0,1.083
Massachusetts,1985,117.2,1.15
Massachusetts,1986,115.8,1.204
Massachusetts,1987,113.8,1.316
Massachusetts,1988,111.7,1.486
Massachusetts,1989,104.4,1.524
Massachusetts,1990,99.4,1.633
Massachusetts,1991,93.5,1.759
Massachusetts,1992,90.5,1.806
Massachusetts,1993,84.1,1.909
Massachusetts,1994,77.0,2.056
Massachusetts,1995,76.9,2.076
Massachusetts,1996,74.6,2.446
Massachusetts,1997,66.7,2.585
Massachusetts,1998,63.6,2.822
Massachusetts,1999,60.4,3.523
Massachusetts,2000,58.3,3.843
Michigan,1970,128.6,0.392
Michigan,1971,126.1,0.4
Michigan,1972,131.4,0.402
Michigan,1973,133.7,0.411
Michigan,1974,138.8,0.444
Michigan,1975,136.8,0.479
Michigan,1976,138.0,0.483
Michigan,1977,140.3,0.54
Michigan,1978,141.8,0.572
Michigan,1979,140.9,0.603
Michigan,1980,140.7,0.618
Michigan,1981,139.5,0.68
Michigan,1982,137.3,0.877
Michigan,1983,128.3,0.97
Michigan,1984,128.2,1.014
Michigan,1985,126.6,1.06
Michigan,1986,126.5,1.114
Michigan,1987,122.1,1.222
Michigan,1988,121.1,1.33
Michigan,1989,116.6,1.439
Michigan,1990,114.4,1.449
Michigan,1991,110.3,1.767
Michigan,1992,107.6,1.846
Michigan,1993,106.5,1.634
Michigan,1994,112.9,2.243
Michigan,1995,82.8,2.293
Michigan,1996,82.9,2.338
Michigan,1997,75.6,2.43
Michigan,1998,73.7,2.613
Michigan,1999,81.7,3.338
Michigan,2000,83.7,3.455
Minnesota,1970,104.3,0.401
Minnesota,1971,116.4,0.452
Minnesota,1972,96.8,0.456
Minnesota,1973,106.8,0.47
Minnesota,1974,110.6,0.494
Minnesota,1975,111.5,0.521
Minnesota,1976,116.7,0.531
Minnesota,1977,117.2,0.579
Minnesota,1978,118.9,0.609
Minnesota,1979,118.3,0.63
Minnesota,1980,117.7,0.658
Minnesota,1981,120.8,0.717
Minnesota,1982,119.4,0.873
Minnesota,1983,113.2,0.992
Minnesota,1984,110.8,1.015
Minnesota,1985,113.0,1.163
Minnesota,1986,104.8,1.201
Minnesota,1987,108.8,1.417
Minnesota,1988,94.1,1.525
Minnesota,1989,92.3,1.623
Minnesota,1990,90.7,1.739
Minnesota,1991,86.2,1.977
Minnesota,1992,83.8,2.156
Minnesota,1993,81.6,1.961
Minnesota,1994,83.4,2.022
Minnesota,1995,84.1,2.086
Minnesota,1996,81.7,2.168
Minnesota,1997,84.1,2.2
Minnesota,1998,83.2,2.274
Minnesota,1999,80.7,3.036
Minnesota,2000,76.0,3.188
Mississippi,1970,93.4,0.375
Mississippi,1971,105.4,0.374
Mississippi,1972,112.1,0.373
Mississippi,1973,115.0,0.414
Mississippi,1974,117.1,0.43
Mississippi,1975,116.8,0.464
Mississippi,1976,120.9,0.488
Mississippi,1977,122.1,0.536
Mississippi,1978,124.9,0.565
Mississippi,1979,123.9,0.597
Mississippi,1980,127.0,0.63
Mississippi,1981,125.3,0.692
Mississippi,1982,125.8,0.786
Mississippi,1983,122.3,0.89
Mississippi,1984,116.4,0.984
Mississippi,1985,115.3,1.06
Mississippi,1986,113.2,1.158
Mississippi,1987,110.0,1.226
Mississippi,1988,109.0,1.258
Mississippi,1989,108.3,1.399
Mississippi,1990,101.8,1.427
Mississippi,1991,105.6,1.608
Mississippi,1992,103.9,1.778
Mississippi,1993,105.4,1.569
Mississippi,1994,106.0,1.539
Mississippi,1995,107.5,1.612
Mississippi,1996,106.9,1.686
Mississippi,1997,106.3,1.758
Mississippi,1998,107.0,1.995
Mississippi,1999,103.9,2.72
Mississippi,2000,97.2,2.8
Missouri,1970,121.3,0.368
Missouri,1971,127.6,0.377
Missouri,1972,130.0,0.377
Missouri,1973,132.1,0.38
Missouri,1974,135.4,0.435
Missouri,1975,135.6,0.447
Missouri,1976,139.5,0.459
Missouri,1977,140.8,0.499
Missouri,1978,141.8,0.522
Missouri,1979,140.2,0.573
Missouri,1980,142.1,0.599
Missouri,1981,140.5,0.647
Missouri,1982,139.7,0.748
Missouri,1983,134.1,0.848
Missouri,1984,130.0,0.937
Missouri,1985,129.2,1.019
Missouri,1986,128.8,1.085
Missouri,1987,128.7,1.146
Missouri,1988,127.4,1.189
Missouri,1989,122.8,1.291
Missouri,1990,119.1,1.325
Missouri,1991,119.9,1.531
Missouri,1992,122.3,1.576
Missouri,1993,121.6,1.468
Missouri,1994,119.4,1.503
Missouri,1995,124.0,1.598
Missouri,1996,124.1,1.634
Missouri,1997,120.6,1.738
Missouri,1998,120.1,1.97
Missouri,1999,118.0,2.588
Missouri,2000,113.8,2.822
Montana,1970,111.2,0.347
Montana,1971,115.6,0.401
Montana,1972,122.2,0.409
Montana,1973,119.9,0.418
Montana,1974,121.9,0.437
Montana,1975,123.7,0.453
Montana,1976,124.9,0.476
Montana,1977,127.0,0.519
Montana,1978,127.2,0.537
Montana,1979,120.3,0.567
Montana,1980,122.0,0.604
Montana,1981,121.1,0.657
Montana,1982,122.4,0.772
Montana,1983,113.7,0.913
Montana,1984,110.1,0.955
Montana,1985,103.6,1.02
Montana,1986,97.8,1.062
Montana,1987,91.7,1.153
Montana,1988,87.1,1.23
Montana,1989,86.2,1.404
Montana,1990,84.7,1.436
Montana,1991,82.9,1.635
Montana,1992,86.6,1.794
Montana,1993,86.0,1.513
Montana,1994,88.2,1.554
Montana,1995,90.5,1.568
Montana,1996,87.3,1.649
Montana,1997,88.9,1.754
Montana,1998,89.1,1.963
Montana,1999,82.6,2.607
Montana,2000,75.5,2.71
Nebraska,1970,108.1,0.347
Nebraska,1971,108.6,0.411
Nebraska,1972,104.9,0.412
Nebraska,1973,106.6,0.42
Nebraska,1974,110.5,0.446
Nebraska,1975,114.1,0.468
Nebraska,1976,118.1,0.481
Nebraska,1977,117.7,0.536
Nebraska,1978,117.4,0.554
Nebraska,1979,116.1,0.595
Nebraska,1980,116.3,0.609
Nebraska,1981,117.0,0.697
Nebraska,1982,117.1,0.837
Nebraska,1983,110.8,0.948
Nebraska,1984,107.7,0.958
Nebraska,1985,105.1,1.04
Nebraska,1986,103.1,1.137
Nebraska,1987,101.3,1.233
Nebraska,1988,92.9,1.393
Nebraska,1989,93.8,1.434
Nebraska,1990,89.9,1.522
Nebraska,1991,92.4,1.695
Nebraska,1992,90.6,1.772
Nebraska,1993,91.1,1.696
Nebraska,1994,85.9,1.707
