"year","regionname","gdpcap","sec.agriculture","sec.energy","sec.industry","sec.construction","sec.services.venta","sec.services.nonventa","school.illit","school.prim","school.med","school.higher","invest","popdens"
1964,"Andalucia",2.50885458681727,NA,NA,NA,NA,NA,NA,18.4913527220016,60.5733291376634,2.59070328386585,1.47820989903352,17.4014949798584,NA
1965,"Andalucia",2.58469002752841,24.5200004577637,2.65000009536743,18.1800003051758,8.55000019073486,38.3199996948242,7.78000020980835,17.9901831655773,60.7471442654532,2.72407999814305,1.55087595930707,18.3089637756348,NA
1966,"Andalucia",2.69444434855945,NA,NA,NA,NA,NA,NA,17.4988688795269,60.9997087662758,2.87240596840097,1.63257927321146,18.4299926757812,NA
1967,"Andalucia",2.80234220537994,21.8700008392334,2.65000009536743,18.2199993133545,8.53999996185303,39.0800018310547,9.64999961853027,17.0172413768198,61.4636634445697,3.04525687421631,1.72596595703414,19.1156578063965,NA
1968,"Andalucia",2.98736079765435,NA,NA,NA,NA,NA,NA,16.5451309495048,61.750096280399,3.49253164170354,1.81605333209536,20.6084861755371,NA
1969,"Andalucia",3.17909177525729,19.7299995422363,3.24000000953674,18.4300003051758,8.85999965667725,39.2299995422363,10.5200004577637,16.0823727733128,62.0224885303387,3.9461848031763,1.94357271836935,22.0555896759033,68.5100021362305
1970,"Andalucia",3.35432726531259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3137626647949,NA
1971,"Andalucia",3.52292206586344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3175086975098,NA
1972,"Andalucia",3.75621265018031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1272926330566,NA
1973,"Andalucia",3.98771781234937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8019485473633,NA
1974,"Andalucia",4.05184220872719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6468963623047,NA
1975,"Andalucia",4.11218219878026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7574157714844,NA
1976,"Andalucia",4.22179356400403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5302619934082,NA
1977,"Andalucia",4.33169084084235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8983554840088,NA
1978,"Andalucia",4.30519868904643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8129272460938,NA
1979,"Andalucia",4.2269351788161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6916809082031,NA
1980,"Andalucia",4.21151120606166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9232215881348,NA
1981,"Andalucia",4.20701245654143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8307266235352,NA
1982,"Andalucia",4.24907153689906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1853771209717,NA
1983,"Andalucia",4.29163096258212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1268634796143,NA
1984,"Andalucia",4.35868333796371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9248065948486,NA
1985,"Andalucia",4.42659257650716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.382495880127,NA
1986,"Andalucia",4.66323891764741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3726501464844,NA
1987,"Andalucia",4.90067107988677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4932041168213,NA
1988,"Andalucia",5.15959717075813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3585662841797,NA
1989,"Andalucia",5.41773787637126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7622928619385,NA
1990,"Andalucia",5.5852611621289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3183250427246,NA
1991,"Andalucia",5.74921447527269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.49245262146,NA
1992,"Andalucia",5.64124535846901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3187294006348,NA
1993,"Andalucia",5.53491849008542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1836738586426,NA
1994,"Andalucia",5.63881728894981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2683906555176,NA
1995,"Andalucia",5.72072268553851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1725749969482,NA
1996,"Andalucia",5.99592961232617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Andalucia",6.30098553733532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,"Aragon",2.28877455736698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"Aragon",2.44515862202038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,"Aragon",2.60339893296391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,"Aragon",2.63903175752798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,"Aragon",2.67709221577038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"Aragon",2.8814623608517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,"Aragon",3.09954297028416,25.0699996948242,6.90999984741211,21.6599998474121,6.80000019073486,32.8499984741211,6.71000003814697,NA,NA,NA,NA,NA,NA
1962,"Aragon",3.35918318643055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"Aragon",3.61418169724945,25.3400001525879,6.07999992370605,21.7299995422363,7.53000020980835,33.3499984741211,5.96000003814697,NA,NA,NA,NA,NA,NA
1964,"Aragon",3.68009129785463,NA,NA,NA,NA,NA,NA,7.43369418360405,69.1294452247426,3.46580865491145,2.16209256144537,21.2724781036377,NA
1965,"Aragon",3.74528699110522,21.0200004577637,6.26999998092651,23.6000003814697,8.28999996185303,34.2299995422363,6.59999990463257,7.25513291631606,69.2722147923324,3.66560682235799,2.2323468975274,22.7678966522217,NA
1966,"Aragon",3.88331910400042,NA,NA,NA,NA,NA,NA,7.07994227261642,69.5063475365632,3.88813734860886,2.31247624431675,21.4764251708984,NA
1967,"Aragon",4.01613812417992,18.4799995422363,6.07999992370605,23.3799991607666,8.43000030517578,35.7099990844727,7.92999982833862,6.90806602676504,69.9611305306714,4.14687214005343,2.40588654904046,19.729175567627,NA
1968,"Aragon",4.24364488215421,NA,NA,NA,NA,NA,NA,6.73944649261297,70.164717363735,4.78486707338075,2.49023483439948,20.5848808288574,NA
1969,"Aragon",4.47622090535517,18.7199993133545,6.05000019073486,23.5300006866455,8.10999965667725,35.310001373291,8.27999973297119,6.57402963503337,70.3570532071431,5.4396654707495,2.62478522107283,23.6340599060059,24.0400009155273
1970,"Aragon",4.59625802016946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9269580841064,NA
1971,"Aragon",4.72372186350775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1613140106201,NA
1972,"Aragon",5.00128538191097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9001197814941,NA
1973,"Aragon",5.28349060564169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.707145690918,NA
1974,"Aragon",5.44237378187705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.394905090332,NA
1975,"Aragon",5.60097104649788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4223594665527,NA
1976,"Aragon",5.73657508987388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0618801116943,NA
1977,"Aragon",5.86639552482773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.859992980957,NA
1978,"Aragon",5.92502135271619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.286657333374,NA
1979,"Aragon",5.95279923509578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.492244720459,NA
1980,"Aragon",5.97472159530871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7298030853271,NA
1981,"Aragon",6.01113958721057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8206253051758,NA
1982,"Aragon",6.13360477154407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4890670776367,NA
1983,"Aragon",6.26085418117145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5623760223389,NA
1984,"Aragon",6.37289361591443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1013278961182,NA
1985,"Aragon",6.49550132021431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.533239364624,NA
1986,"Aragon",6.92652092426717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3258762359619,NA
1987,"Aragon",7.3586118251928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5995044708252,NA
1988,"Aragon",7.80277028828817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0823040008545,NA
1989,"Aragon",8.24264530725596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.157751083374,NA
1990,"Aragon",8.45829762924879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2104244232178,NA
1991,"Aragon",8.6682378207231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0179557800293,NA
1992,"Aragon",8.46686626086743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8654041290283,NA
1993,"Aragon",8.25692694107487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5592422485352,NA
1994,"Aragon",8.57397851450925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9211864471436,NA
1995,"Aragon",8.84675824345946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6667442321777,NA
1996,"Aragon",9.09668683529036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Aragon",9.51870894030277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,"Principado De Asturias",2.50292780466742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"Principado De Asturias",2.61553840887816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,"Principado De Asturias",2.72579263939377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,"Principado De Asturias",2.75185657752919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,"Principado De Asturias",2.77742082410048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"Principado De Asturias",2.96729511957242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,"Principado De Asturias",3.14388738227415,14.1199998855591,21.3600006103516,22.0799999237061,9.02999973297119,28.4599990844727,4.94999980926514,NA,NA,NA,NA,NA,NA
1962,"Principado De Asturias",3.37353608023266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"Principado De Asturias",3.59725799604131,15.1700000762939,19.0400009155273,22.3600006103516,8.96000003814697,29.7099990844727,4.76999998092651,NA,NA,NA,NA,NA,NA
1964,"Principado De Asturias",3.67259352726788,NA,NA,NA,NA,NA,NA,3.13981760990971,72.357423400891,4.06417898192008,2.03205429675795,21.048454284668,NA
1965,"Principado De Asturias",3.74335883107059,12.1000003814697,18.4699993133545,24.4099998474121,9.5600004196167,30.0300006866455,5.42999982833862,3.25146125640761,72.3969498957346,4.31676064895087,2.122118324096,22.6595020294189,NA
1966,"Principado De Asturias",3.9093828242154,NA,NA,NA,NA,NA,NA,3.35970004446819,72.5102450895108,4.59833862299129,2.22378513676149,22.340934753418,NA
1967,"Principado De Asturias",4.07312213948916,10.5600004196167,18.3099994659424,24.7999992370605,8.68000030517578,31.1700000762939,6.48000001907349,3.46460271115479,72.8252218452957,4.92527769197164,2.34032211906509,21.4814567565918,NA
1968,"Principado De Asturias",4.30862614169389,NA,NA,NA,NA,NA,NA,3.56623819994833,72.8016406978038,5.70734446693199,2.45212145604352,23.0380535125732,NA
1969,"Principado De Asturias",4.54970019029161,9.85999965667725,16.0599994659424,26.9799995422363,8.80000019073486,31.3899993896484,6.90999984741211,3.66467256448326,72.7525628474215,6.51619516498373,2.61096692649711,26.0494537353516,98.7399978637695
1970,"Principado De Asturias",4.63160515103944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9371795654297,NA
1971,"Principado De Asturias",4.69965734539016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7478637695312,NA
1972,"Principado De Asturias",5.02256487683207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0096817016602,NA
1973,"Principado De Asturias",5.34561536408124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8314018249512,NA
1974,"Principado De Asturias",5.50249933821921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3478260040283,NA
1975,"Principado De Asturias",5.65195658383319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.0620956420898,NA
1976,"Principado De Asturias",5.59225945907196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9734210968018,NA
1977,"Principado De Asturias",5.53870333225105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2392463684082,NA
1978,"Principado De Asturias",5.61461025086582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3666744232178,NA
1979,"Principado De Asturias",5.70429889381494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1282520294189,NA
1980,"Principado De Asturias",5.79698655783058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1302757263184,NA
1981,"Principado De Asturias",5.93566110017674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4835338592529,NA
1982,"Principado De Asturias",5.84975729939325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.848123550415,NA
1983,"Principado De Asturias",5.76906615548459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3350830078125,NA
1984,"Principado De Asturias",5.88731806607152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7501068115234,NA
1985,"Principado De Asturias",6.01128254301784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3055534362793,NA
1986,"Principado De Asturias",6.23479002511559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2548580169678,NA
1987,"Principado De Asturias",6.4652958041564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5103187561035,NA
1988,"Principado De Asturias",6.68816042096231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1311721801758,NA
1989,"Principado De Asturias",6.91352458519106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3636207580566,NA
1990,"Principado De Asturias",6.98314755005824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2122764587402,NA
1991,"Principado De Asturias",7.04063103901118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6604309082031,NA
1992,"Principado De Asturias",6.92280756000518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5400199890137,NA
1993,"Principado De Asturias",6.79834317357429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5378379821777,NA
1994,"Principado De Asturias",6.95415585083949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6073780059814,NA
1995,"Principado De Asturias",7.11646691556319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4219799041748,NA
1996,"Principado De Asturias",7.21722373755378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Principado De Asturias",7.47572139684421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,"Baleares (Islas)",3.14395886017778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"Baleares (Islas)",3.34775783579134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,"Baleares (Islas)",3.54962865137026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,"Baleares (Islas)",3.64267348698363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,"Baleares (Islas)",3.73486167735558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"Baleares (Islas)",4.05884050567026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,"Baleares (Islas)",4.36025410848017,16.3400001525879,2.14000010490417,22.1599998474121,7.05999994277954,45.3800010681152,6.92999982833862,NA,NA,NA,NA,NA,NA
1962,"Baleares (Islas)",4.64617269647288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,"Baleares (Islas)",4.91152526105822,15.8000001907349,1.94000005722046,20.0900001525879,8.14999961853027,48.2900009155273,5.73000001907349,NA,NA,NA,NA,NA,NA
1964,"Baleares (Islas)",5.05069971288895,NA,NA,NA,NA,NA,NA,10.5891318019182,64.8363675714185,3.25705368868678,1.9063624920947,14.1790342330933,NA
1965,"Baleares (Islas)",5.18466150784486,12.5100002288818,2.14000010490417,18.7900009155273,8.88000011444092,52.0999984741211,5.57999992370605,10.5755873809759,65.342379945945,3.58080009034005,1.97749275656985,19.0025005340576,NA
1966,"Baleares (Islas)",5.46679525367194,NA,NA,NA,NA,NA,NA,10.5606289497088,65.9178577831293,3.94330217931609,2.05748773364895,26.2534103393555,NA
1967,"Baleares (Islas)",5.73764638674664,11.0100002288818,2.11999988555908,16.5300006866455,8.60000038146973,54.7799987792969,6.96000003814697,10.5442943158797,66.6918851865364,4.36143545049368,2.14962582895465,29.701530456543,NA
1968,"Baleares (Islas)",6.16145369598642,NA,NA,NA,NA,NA,NA,10.5266221274237,67.1610576770932,5.21323258159137,2.23243396613214,30.7616958618164,NA
1969,"Baleares (Islas)",6.58169103261233,9.98999977111816,2.03999996185303,13.7200002670288,8.77999973297119,58.2099990844727,7.26999998092651,10.5076493519309,67.5687564258533,6.13345378152777,2.36510093283099,26.7520999908447,104.169998168945
1970,"Baleares (Islas)",6.88703243339515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4437465667725,NA
1971,"Baleares (Islas)",7.16866626973767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7412166595459,NA
1972,"Baleares (Islas)",7.5706937387309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8075218200684,NA
1973,"Baleares (Islas)",7.95629785184144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1038875579834,NA
1974,"Baleares (Islas)",7.97272207940588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3105583190918,NA
1975,"Baleares (Islas)",7.97414989411508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3685703277588,NA
1976,"Baleares (Islas)",8.03484683784544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8859233856201,NA
1977,"Baleares (Islas)",8.0805482404023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0879421234131,NA
1978,"Baleares (Islas)",8.04198765475489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.650239944458,NA
1979,"Baleares (Islas)",8.00485575549843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8388481140137,NA
1980,"Baleares (Islas)",8.25978257049325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2605838775635,NA
1981,"Baleares (Islas)",8.53113361305252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8526191711426,NA
1982,"Baleares (Islas)",8.7225078548986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5585250854492,NA
1983,"Baleares (Islas)",8.92530722946346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6211080551147,NA
1984,"Baleares (Islas)",9.27592116538132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1354694366455,NA
1985,"Baleares (Islas)",9.65224186783687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3290481567383,NA
1986,"Baleares (Islas)",10.2577834904313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.519567489624,NA
1987,"Baleares (Islas)",10.8233358409874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2754974365234,NA
1988,"Baleares (Islas)",11.1203945217661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1139583587646,NA
1989,"Baleares (Islas)",11.4081689202081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8808898925781,NA
1990,"Baleares (Islas)",11.5124246727498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.360876083374,NA
1991,"Baleares (Islas)",11.6795199627673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8074073791504,NA
1992,"Baleares (Islas)",11.3196226161945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.028039932251,NA
