state,City,Store Name,store_id,Address,Phone,url
Florida,Boca Raton,Boca Raton,10130,1400 Glades Rd,(561) 447-0000,https://www.wholefoodsmarket.com/stores/bocaraton
New York,New York,Chelsea,10131,250 7th Ave,(212) 924-5969,https://www.wholefoodsmarket.com/stores/chelsea
North Carolina,Cary,Cary,10132,102B New Waverly Pl,(919) 816-8830,https://www.wholefoodsmarket.com/stores/cary
Texas,Houston,Bellaire,10134,4004 Bellaire Blvd,(713) 667-4090,https://www.wholefoodsmarket.com/stores/bellaire
District of Columbia,Washington,P Street,10135,1440 P Street NW,(202) 332-4300,https://www.wholefoodsmarket.com/stores/pstreet
Georgia,Atlanta,Sandy Springs,10136,5930 Roswell Rd,(404) 236-0810,https://www.wholefoodsmarket.com/stores/sandysprings
California,Sebastopol,Sebastopol,10137,6910 McKinley St,(707) 829-9801,https://www.wholefoodsmarket.com/stores/sebastopol
California,Petaluma,Petaluma,10138,621 E Washington St,(707) 762-9352,https://www.wholefoodsmarket.com/stores/petaluma
California,Santa Rosa,Santa Rosa,10139,1181 Yulupa Ave,(707) 575-7915,https://www.wholefoodsmarket.com/stores/santarosa
Texas,Highland Park,Highland Park,10140,4100 Lomo Alto Dr,(214) 520-7993,https://www.wholefoodsmarket.com/stores/highlandpark
Colorado,Highlands Ranch,Highlands Ranch,10142,9366 S Colorado Blvd,(303) 470-6003,https://www.wholefoodsmarket.com/stores/highlandsranch
Louisiana,New Orleans,Arabella Station,10143,5600 Magazine St,(504) 899-9119,https://www.wholefoodsmarket.com/stores/arabellastation
New Mexico,Albuquerque,Academy,10144,5815 Wyoming Blvd NE,(505) 856-0474,https://www.wholefoodsmarket.com/stores/academy
Texas,Austin,Lamar,10145,525 N Lamar Blvd,(512) 542-2200,https://www.wholefoodsmarket.com/stores/lamar
Colorado,Colorado Springs,Pikes Peak,10146,7635 N Academy Blvd,(719) 531-9999,https://www.wholefoodsmarket.com/stores/pikespeak
Colorado,Fort Collins,Fort Collins,10147,2201 S College Ave,(970) 267-9200,https://www.wholefoodsmarket.com/stores/fortcollins
Oregon,Portland,Pearl District Portland,10148,1210 NW Couch St,(503) 525-4343,https://www.wholefoodsmarket.com/stores/pearldistrictportland
California,San Mateo,San Mateo,10150,1010 Park Pl,(650) 358-6900,https://www.wholefoodsmarket.com/stores/sanmateo
California,San Francisco,SoMa,10151,399 4th St,(415) 618-0066,https://www.wholefoodsmarket.com/stores/soma
California,Sacramento,Sacramento,10152,4315 Arden Way,(916) 488-2800,https://www.wholefoodsmarket.com/stores/sacramento
Washington,Bellevue,Bellevue,10153,888 116th Ave NE,(425) 462-1400,https://www.wholefoodsmarket.com/stores/bellevue
California,Redwood City,Redwood City,10154,1250 Jefferson Ave,(650) 367-1400,https://www.wholefoodsmarket.com/stores/redwoodcity
California,Los Altos,Los Altos,10155,4800 El Camino Real,(650) 559-0300,https://www.wholefoodsmarket.com/stores/losaltos
Massachusetts,Framingham,Framingham,10156,575 Worcester Rd,(508) 628-9525,https://www.wholefoodsmarket.com/stores/framingham
New Jersey,Madison,Rose City,10157,222 Main St,(973) 822-8444,https://www.wholefoodsmarket.com/stores/rosecity
Massachusetts,Boston,Charles River Plaza,10158,181 Cambridge St,(617) 723-0004,https://www.wholefoodsmarket.com/stores/charlesriverplaza
Massachusetts,Hingham,Hingham,10159,94 Derby St,(781) 741-8050,https://www.wholefoodsmarket.com/stores/hingham
New York,New York,Columbus Circle,10160,10 Columbus Cir,(212) 823-9600,https://www.wholefoodsmarket.com/stores/columbuscircle
New York,Jericho,Jericho,10161,429 North Broadway,(516) 932-1733,https://www.wholefoodsmarket.com/stores/jericho
New York,New York,Union Square,10162,4 Union Square S,(212) 673-5388,https://www.wholefoodsmarket.com/stores/unionsquare
New York,White Plains,White Plains,10163,110 Bloomingdale Rd,(914) 288-1300,https://www.wholefoodsmarket.com/stores/whiteplains
Missouri,St. Louis,Galleria,10166,1601 S Brentwood Blvd,(314) 968-7744,https://www.wholefoodsmarket.com/stores/galleria
Michigan,Ann Arbor,Ann Arbor,10167,3135 Washtenaw Ave,(734) 975-4500,https://www.wholefoodsmarket.com/stores/annarbor
Ontario,Toronto,Yorkville,10168,87 Avenue Rd,(416) 944-0500,https://www.wholefoodsmarket.com/stores/yorkville
Nebraska,Omaha,Omaha,10169,10020 Regency Cir,(402) 393-1200,https://www.wholefoodsmarket.com/stores/omaha
Illinois,Chicago,Sauganash,10170,6020 N Cicero Ave,(773) 205-1100,https://www.wholefoodsmarket.com/stores/sauganash
Illinois,Chicago,South Loop,10171,1101 S Canal St,(312) 435-4600,https://www.wholefoodsmarket.com/stores/southloop
California,Santa Monica,23rd & Wilshire Blvd,10173,2201 Wilshire Blvd,(310) 315-0662,https://www.wholefoodsmarket.com/stores/23rd&wilshireblvd
Nevada,Las Vegas,Fort Apache,10174,8855 W Charleston Blvd,(702) 254-8655,https://www.wholefoodsmarket.com/stores/fortapache
California,Los Angeles,Westwood,10176,1050 S Gayley Ave,(310) 824-0858,https://www.wholefoodsmarket.com/stores/westwood
California,Los Angeles,3rd & Fairfax,10177,6350 W 3rd St,(323) 964-6800,https://www.wholefoodsmarket.com/stores/3rd&fairfax
California,Santa Clarita,Valencia,10178,24130 Valencia Blvd,(661) 260-2377,https://www.wholefoodsmarket.com/stores/valencia
California,Glendale,Glendale,10179,331 N Glendale Ave,(818) 548-3695,https://www.wholefoodsmarket.com/stores/glendale
Maryland,Gaithersburg,Kentlands,10180,316 Kentlands Blvd,(301) 258-9500,https://www.wholefoodsmarket.com/stores/kentlands
Virginia,Alexandria,Old Town,10185,1700 Duke St,(703) 706-0891,https://www.wholefoodsmarket.com/stores/oldtown
Kentucky,Louisville,Louisville,10186,4944 Shelbyville Rd,(502) 899-5545,https://www.wholefoodsmarket.com/stores/louisville
New Jersey,Princeton,Princeton,10187,3495 US Rt 1 S,(609) 799-2919,https://www.wholefoodsmarket.com/stores/princeton
Florida,Palm Beach Gardens,Palm Beach Gardens,10188,11701 Lake Victoria Gardens Ave,(561) 691-8550,https://www.wholefoodsmarket.com/stores/palmbeachgardens
Florida,Sarasota,Sarasota,10189,1451 1st St,(941) 316-4700,https://www.wholefoodsmarket.com/stores/sarasota
Florida,Coral Gables,Coral Gables,10190,6701 Red Rd,(305) 421-9421,https://www.wholefoodsmarket.com/stores/coralgables
Florida,Miami,Downtown Miami,10191,299 SE 3rd Ave,(305) 995-0600,https://www.wholefoodsmarket.com/stores/downtownmiami
Florida,Naples,Naples,10192,9101 Strada Pl,(239) 552-5100,https://www.wholefoodsmarket.com/stores/naples
Florida,Pembroke Pines,Pembroke Pines,10193,14956 Pines Blvd,(954) 392-3500,https://www.wholefoodsmarket.com/stores/pembrokepines
Florida,Orlando,Orlando,10194,8003 Turkey Lake Rd,(407) 355-7100,https://www.wholefoodsmarket.com/stores/orlando
Florida,Wellington,Wellington,10195,2635 FL-7,(561) 904-4000,https://www.wholefoodsmarket.com/stores/wellington
Georgia,Atlanta,Ponce de Leon,10196,650 Ponce de Leon Ave NE,(404) 853-1681,https://www.wholefoodsmarket.com/stores/poncedeleon
Wisconsin,Milwaukee,Milwaukee,10197,2305 N Prospect Ave,(414) 223-1500,https://www.wholefoodsmarket.com/stores/milwaukee
Louisiana,Baton Rouge,Baton Rouge,10198,7529 Corporate Blvd,(225) 218-0452,https://www.wholefoodsmarket.com/stores/batonrouge
Ohio,University Heights,Cedar Center,10199,13998 Cedar Rd,(216) 932-3918,https://www.wholefoodsmarket.com/stores/cedarcenter
South Carolina,Mount Pleasant,Charleston,10201,923 Houston Northcutt Blvd,(843) 971-7240,https://www.wholefoodsmarket.com/stores/charleston
Louisiana,Metairie,Veterans,10202,3420 Veterans Memorial Blvd,(504) 888-8225,https://www.wholefoodsmarket.com/stores/veterans
Illinois,Chicago,Halsted and Waveland,10203,3640 N Halsted St,(773) 472-0400,https://www.wholefoodsmarket.com/stores/halstedandwaveland
California,Thousand Oaks,Thousand Oaks,10204,740 North Moorpark Rd,(805) 777-4730,https://www.wholefoodsmarket.com/stores/thousandoaks
Virginia,Charlottesville,Charlottesville,10205,1797 Hydraulic Rd,(434) 973-4900,https://www.wholefoodsmarket.com/stores/charlottesville
Georgia,Atlanta,Buckhead,10206,77 West Paces Ferry Rd NW,(404) 324-4100,https://www.wholefoodsmarket.com/stores/buckhead
Colorado,Denver,Tamarac,10207,7400 E Hampden Ave,(303) 488-2000,https://www.wholefoodsmarket.com/stores/tamarac
Alabama,Birmingham,Mountain Brook,10209,3100 Cahaba Village Plaza,(205) 912-8400,https://www.wholefoodsmarket.com/stores/mountainbrook
Maryland,Chevy Chase,Friendship Heights,10211,4420 Willard Ave,(301) 657-1520,https://www.wholefoodsmarket.com/stores/friendshipheights
British Columbia,West Vancouver,West Vancouver,10212,925 Main St,(604) 678-0500,https://www.wholefoodsmarket.com/stores/westvancouver
New Jersey,Red Bank,Middletown,10213,471 St Rt 35 N,(732) 758-1688,https://www.wholefoodsmarket.com/stores/middletown
Ohio,Columbus,Columbus,10214,3670 W Dublin-Granville Rd,(614) 760-5556,https://www.wholefoodsmarket.com/stores/columbus
Georgia,Duluth,Johns Creek,10215,5945 State Bridge Rd,(678) 514-2400,https://www.wholefoodsmarket.com/stores/johnscreek
Washington,Seattle,Westlake,10216,2210 Westlake Ave,(206) 621-9700,https://www.wholefoodsmarket.com/stores/westlake
Connecticut,West Hartford,West Hartford,10217,50 Raymond Rd,(860) 523-8500,https://www.wholefoodsmarket.com/stores/westhartford
Colorado,Lakewood,Belmar,10218,444 S Wadsworth Blvd,(303) 935-5000,https://www.wholefoodsmarket.com/stores/belmar
Nevada,Henderson,Henderson,10219,100 S Green Valley Pkwy,(702) 361-8183,https://www.wholefoodsmarket.com/stores/henderson
New York,Brooklyn,Third and 3rd (Brooklyn),10220,214 3rd St ,(718) 907-3622,https://www.wholefoodsmarket.com/stores/thirdand3rd(brooklyn)
California,Oakland,Oakland,10221,230 Bay Pl,(510) 834-9800,https://www.wholefoodsmarket.com/stores/oakland
Massachusetts,Swampscott,Swampscott,10222,331 Paradise Rd,(781) 592-2200,https://www.wholefoodsmarket.com/stores/swampscott
Virginia,Fairfax,Fair Lakes,10223,4501 Market Commons Dr,(703) 222-2058,https://www.wholefoodsmarket.com/stores/fairlakes
South Carolina,Greenville,Greenville,10224,1140 Woodruff Rd,(864) 335-2300,https://www.wholefoodsmarket.com/stores/greenville
California,El Segundo,Plaza El Segundo,10225,760 S Sepulveda Blvd,(310) 333-1900,https://www.wholefoodsmarket.com/stores/plazaelsegundo
Ontario,Oakville,Oakville,10226,301 Cornwall Rd,(905) 849-8400,https://www.wholefoodsmarket.com/stores/oakville
Texas,Dallas,Forest,10227,11700 Preston Rd,(214) 361-8887,https://www.wholefoodsmarket.com/stores/forest
Maryland,Annapolis,Annapolis,10228,200 Harker Pl,(410) 573-1800,https://www.wholefoodsmarket.com/stores/annapolis
California,Roseville,Roseville,10230,1001 Galleria Blvd,(916) 781-5300,https://www.wholefoodsmarket.com/stores/roseville
California,Tustin,Jamboree,10231,2847 Park Ave,(714) 566-7650,https://www.wholefoodsmarket.com/stores/jamboree
Massachusetts,Woburn,Woburn,10233,400 Cambridge Rd,(781) 376-9600,https://www.wholefoodsmarket.com/stores/woburn
California,Novato,Novato,10234,790 De Long Ave,(415) 878-0455,https://www.wholefoodsmarket.com/stores/novato
Maryland,Rockville,Rockville,10235,11355 Woodglen Dr,(301) 984-4880,https://www.wholefoodsmarket.com/stores/rockville
New York,New York,Bowery,10236,95 East Houston St,(212) 420-1320,https://www.wholefoodsmarket.com/stores/bowery
California,Pasadena,Arroyo,10237,465 S Arroyo Pkwy,(626) 204-2266,https://www.wholefoodsmarket.com/stores/arroyo
California,San Francisco,Potrero Hill,10238,450 Rhode Island St,(415) 552-1155,https://www.wholefoodsmarket.com/stores/potrerohill
Texas,Dallas,Park Lane,10239,8190 Park Ln,(214) 342-4850,https://www.wholefoodsmarket.com/stores/parklane
New York,Lake Grove,Lake Grove,10240,120 New Moriches Rd,(631) 588-1466,https://www.wholefoodsmarket.com/stores/lakegrove
Tennessee,Nashville,Green Hills,10241,4021 Hillsboro Pike,(615) 440-5100,https://www.wholefoodsmarket.com/stores/greenhills
Pennsylvania,Upper St. Clair,South Hills,10242,111 Siena Dr,(412) 409-4550,https://www.wholefoodsmarket.com/stores/southhills
Oregon,Portland,Hollywood,10243,4301 NE Sandy Blvd,(503) 284-2644,https://www.wholefoodsmarket.com/stores/hollywood
Illinois,Northbrook,Northbrook,10244,840 Willow Rd,(847) 205-5353,https://www.wholefoodsmarket.com/stores/northbrook
New York,New York,Tribeca,10245,270 Greenwich St,(212) 349-6555,https://www.wholefoodsmarket.com/stores/tribeca
Arizona,Phoenix,Scottsdale,10246,7111 E Mayo Blvd,(480) 515-3777,https://www.wholefoodsmarket.com/stores/scottsdale
British Columbia,Vancouver,Cambie,10248,510 W 8th Ave,(778) 370-4210,https://www.wholefoodsmarket.com/stores/cambie
Pennsylvania,Plymouth Meeting,Plymouth Meeting,10249,500 W Germantown Pike,(610) 832-0010,https://www.wholefoodsmarket.com/stores/plymouthmeeting
Texas,Houston,Post Oak,10251,1700 Post Oak Blvd,(713) 346-0537,https://www.wholefoodsmarket.com/stores/postoak
Illinois,Chicago,Lincoln Park,10252,1550 N Kingsbury St,(312) 587-0648,https://www.wholefoodsmarket.com/stores/lincolnpark
Florida,Jacksonville,Jacksonville,10253,10601 San Jose Blvd,(904) 288-1100,https://www.wholefoodsmarket.com/stores/jacksonville
Rhode Island,Cranston,Garden City Center,10254,151 Sockanosset Cross Rd,(401) 942-7600,https://www.wholefoodsmarket.com/stores/gardencitycenter
California,Santa Barbara,Santa Barbara,10255,3761 State St,(805) 837-6959,https://www.wholefoodsmarket.com/stores/santabarbara
Virginia,Glen Allen,Short Pump,10257,11173 W Broad St,(804) 364-4050,https://www.wholefoodsmarket.com/stores/shortpump
Texas,Sugar Land,Sugar Land,10258,15900 Southwest Fwy,(281) 491-5577,https://www.wholefoodsmarket.com/stores/sugarland
California,San Jose,San Jose,10259,on The Alameda - 777 The Alameda,(408) 207-1126,https://www.wholefoodsmarket.com/stores/sanjose
Washington,Redmond,Redmond,10260,17991 NE Redmond Way,(425) 881-2600,https://www.wholefoodsmarket.com/stores/redmond
New Jersey,West Orange,West Orange,10265,235 Prospect Ave,(973) 669-3196,https://www.wholefoodsmarket.com/stores/westorange
Oregon,Tigard,Bridgeport,10266,7380 SW Bridgeport Rd,(503) 639-6500,https://www.wholefoodsmarket.com/stores/bridgeport
California,Cupertino,Cupertino,10267,20955 Stevens Creek Blvd,(408) 257-7000,https://www.wholefoodsmarket.com/stores/cupertino
Ontario,Mississauga,Square One Mississauga,10268,155 Square One Dr,(905) 275-9393,https://www.wholefoodsmarket.com/stores/squareonemississauga
Arizona,Chandler,Chandler,10272,2955 W Ray Rd,(480) 821-9447,https://www.wholefoodsmarket.com/stores/chandler
Colorado,Centennial,SouthGlenn,10273,6853 S York ,(303) 996-3660,https://www.wholefoodsmarket.com/stores/southglenn
Washington,Seattle,Interbay,10275,2001 15th Ave W,(206) 352-5440,https://www.wholefoodsmarket.com/stores/interbay
Illinois,Schaumburg,Schaumburg,10276,750 N Martingale Rd,(847) 585-5800,https://www.wholefoodsmarket.com/stores/schaumburg
New Jersey,Paramus,Paramus,10279,300 Bergen Town Center,(201) 226-1244,https://www.wholefoodsmarket.com/stores/paramus
Utah,Salt Lake City,Trolley Square,10280,544 S 700 E,(801) 924-9060,https://www.wholefoodsmarket.com/stores/trolleysquare
California,Sonoma,Sonoma,10281,201 W Napa St,(707) 938-8500,https://www.wholefoodsmarket.com/stores/sonoma
Texas,Dallas,Lakewood,10283,2118 Abrams Rd,(214) 824-1744,https://www.wholefoodsmarket.com/stores/lakewood
Idaho,Boise,Boise,10284,401 S Broadway Ave,(208) 287-4600,https://www.wholefoodsmarket.com/stores/boise
Florida,Miami Beach,South Beach,10285,1020 Alton Rd,(305) 938-2800,https://www.wholefoodsmarket.com/stores/southbeach
Nevada,Las Vegas,Las Vegas Blvd,10286,6689 Las Vegas Blvd,(702) 589-7711,https://www.wholefoodsmarket.com/stores/lasvegasblvd
Ohio,Cincinnati,Cincinnati,10287,2693 Edmondson Rd,(513) 531-8015,https://www.wholefoodsmarket.com/stores/cincinnati
California,Napa,Napa,10288,3682 Bel Aire Plaza,(707) 224-6300,https://www.wholefoodsmarket.com/stores/napa
Ontario,North York,Yonge and Sheppard,10289,4771 Yonge Str,(416) 730-1100,https://www.wholefoodsmarket.com/stores/yongeandsheppard
Maine,Portland,Portland,10291,Maine - 2 Somerset St,(207) 774-7711,https://www.wholefoodsmarket.com/stores/portland
Illinois,Kildeer,Kildeer,10292,20281 Rand Rd,(847) 726-4601,https://www.wholefoodsmarket.com/stores/kildeer
Nevada,Reno,Reno,10293,6139 S Virginia St,(775) 852-8023,https://www.wholefoodsmarket.com/stores/reno
Oregon,Eugene,Eugene,10294,353 E Broadway,(541) 434-8820,https://www.wholefoodsmarket.com/stores/eugene
Colorado,Basalt,Roaring Fork,10298,340 Reed St,(970) 927-1500,https://www.wholefoodsmarket.com/stores/roaringfork
Connecticut,Darien,Darien,10300,150 Ledge Rd,(203) 662-0577,https://www.wholefoodsmarket.com/stores/darien
Missouri,Town and Country,Town and Country,10303,1160 Town and Country Crossing Dr,(636) 527-1160,https://www.wholefoodsmarket.com/stores/townandcountry
Oklahoma,Tulsa,Brookside,10304,1401 E 41st St,(918) 712-7555,https://www.wholefoodsmarket.com/stores/brookside
Ontario,Ottawa,Lansdowne Park,10310,951 Bank St,(613) 565-7150,https://www.wholefoodsmarket.com/stores/lansdownepark
British Columbia,Victoria,Victoria,10311,3587 Blanshard St,(250) 382-9800,https://www.wholefoodsmarket.com/stores/victoria
New Jersey,Vauxhall,Millburn,10312,Union - 2245 Springfield Ave,(908) 688-1455,https://www.wholefoodsmarket.com/stores/millburn
Michigan,Ann Arbor,Cranbrook,10315,990 W Eisenhower Pkwy,(734) 997-7500,https://www.wholefoodsmarket.com/stores/cranbrook
Texas,Austin,Domain,10316,11920 Domain Dr,(512) 831-3981,https://www.wholefoodsmarket.com/stores/domain
Connecticut,Fairfield,Fairfield,10317,350 Grasmere Ave,(203) 319-9544,https://www.wholefoodsmarket.com/stores/fairfield
California,Oxnard,Oxnard,10318,650 Town Center Dr,(805) 751-4300,https://www.wholefoodsmarket.com/stores/oxnard
Massachusetts,Dedham,Dedham,10319,300 Legacy Pl,(781) 329-7100,https://www.wholefoodsmarket.com/stores/dedham
California,San Jose,Blossom Hill,10320,1146 Blossom Hill Rd,(408) 266-3700,https://www.wholefoodsmarket.com/stores/blossomhill
