price_item1;price_item2;price_item3;price_item4;price_item5;price_item6;price_item7;price_item8;price_item9;price_item10
2.75;2.75;2.36;2.43;2.28;2.63;2.39;1.41;1.1;1.61
2.75;2.75;2.35;2.4;2.25;2.63;2.37;1.36;1.09;1.6
2.75;2.75;2.36;2.43;2.28;2.63;2.4;1.42;1.1;1.62
2.75;2.75;2.36;2.44;2.29;2.63;2.42;1.42;1.1;1.62
2.75;2.75;2.37;2.44;2.29;2.63;2.41;1.43;1.1;1.63
2.75;2.75;2.37;2.43;2.27;2.63;2.4;1.42;1.1;1.62
2.75;2.75;2.37;2.43;2.28;2.63;2.4;1.42;1.1;1.62
2.75;2.75;2.36;2.41;2.27;2.63;2.39;1.41;1.1;1.62
2.75;2.75;2.34;2.35;2.25;2.63;2.37;1.38;1.09;1.6
2.75;2.75;2.37;2.45;2.28;2.63;2.4;1.44;1.1;1.62
2.75;2.75;2.37;2.46;2.28;2.63;2.41;1.43;1.1;1.63
2.75;2.75;2.37;2.43;2.28;2.63;2.41;1.43;1.1;1.62
1.7;1.69;1.7;1.68;1.61;1.6;2.4;0.99;0.67;1.65
1.69;1.68;1.69;1.7;1.61;1.6;2.4;0.99;0.67;1.61
1.68;1.67;1.69;1.72;1.61;1.6;2.4;0.99;0.67;1.61
1.67;1.73;1.69;1.71;1.6;1.6;2.37;0.98;0.67;1.61
1.65;1.73;1.7;1.77;1.63;1.61;2.41;1;0.69;1.62
1.75;1.71;1.74;1.72;1.62;1.62;2.4;1;0.68;1.62
1.71;1.7;1.69;1.78;1.63;1.61;2.41;1;0.69;1.61
1.68;1.71;1.7;1.71;1.61;1.61;2.4;1.01;0.69;1.62
1.69;1.7;1.7;1.71;1.61;1.61;2.4;1;0.68;1.62
1.69;1.67;1.69;1.69;1.61;1.61;2.39;1;0.68;1.61
1.66;1.7;1.71;1.69;1.63;1.62;2.37;1;0.66;1.6
1.69;1.73;1.7;1.7;1.63;1.63;2.4;1.01;0.69;1.63
1.7;1.72;1.7;1.7;1.62;1.62;2.41;1;0.69;1.64
1.7;1.7;1.71;1.7;1.65;1.61;1.43;1;0.69;1.62
2.75;2.75;2.75;2.75;2.64;2.63;1.33;1.62;1.1;1.63
2.89;2.89;2.89;2.87;2.71;2.71;1.33;1.62;1.1;1.62
2.89;2.89;2.89;2.87;2.71;2.71;1.32;1.61;1.1;1.62
2.89;2.89;2.89;2.88;2.71;2.71;1.33;1.6;1.09;1.62
2.89;2.89;2.89;2.87;2.71;2.71;1.35;1.62;1.1;1.64
2.89;2.89;2.89;2.87;2.71;2.71;1.32;1.62;1.1;1.62
2.89;2.89;2.89;2.87;2.71;2.71;1.33;1.62;1.1;1.62
2.89;2.89;2.89;2.87;2.71;2.71;1.37;1.63;1.1;1.63
2.89;2.89;2.89;2.87;2.71;2.71;1.35;1.62;1.1;1.62
2.89;2.89;2.89;2.87;2.71;2.71;1.34;1.61;1.1;1.62
2.89;2.89;2.89;2.89;2.71;2.71;1.34;1.6;1.09;1.59
2.89;2.89;2.89;2.87;2.71;2.71;1.36;1.63;1.1;1.62
2.89;2.89;2.89;2.87;2.71;2.71;1.35;1.62;1.1;1.63
2.89;2.89;2.89;2.87;2.71;2.71;1.41;1.62;1.1;1.63
2.89;2.89;2.89;2.87;2.71;2.71;2.41;1.62;1.1;1.62
2.89;2.89;2.89;2.87;2.71;2.71;2.4;1.62;1.1;1.62
2.89;2.89;2.89;2.87;2.71;2.71;2.39;1.62;1.1;1.61
2.89;2.89;2.89;2.88;2.71;2.71;2.37;1.6;1.09;1.6
2.89;2.89;2.89;2.87;2.71;2.71;2.4;1.62;1.1;1.62
2.85;2.85;2.85;2.75;2.71;2.61;2.4;1.58;1.1;1.63
2.85;2.85;2.85;2.76;2.71;2.61;2.41;1.59;1.1;1.64
2.85;2.85;2.85;2.75;2.71;2.61;2.4;1.59;1.1;1.62
2.85;2.85;2.85;2.75;2.71;2.61;2.4;1.58;1.1;1.62
2.85;2.85;2.85;2.75;2.71;2.61;2.39;1.58;1.1;1.62
2.85;2.85;2.85;2.75;2.71;2.61;2.37;1.56;1.09;1.61
2.85;2.85;2.85;2.76;2.71;2.61;2.41;1.59;1.1;1.62
2.85;2.85;2.85;2.76;2.71;2.61;2.4;1.59;1.1;1.61
2.85;2.85;2.85;2.76;2.71;2.61;2.41;1.59;1.1;1.63
2.85;2.85;2.85;2.76;2.71;2.61;2.4;1.58;1.1;1.63
2.85;2.85;2.85;2.76;2.71;2.61;2.4;1.58;1.1;1.62
2.85;2.85;2.85;2.75;2.71;2.61;2.4;1.58;1.09;1.62
2.86;2.85;2.84;2.75;2.71;2.61;2.37;1.56;1.09;1.6
2.85;2.85;2.85;2.76;2.71;2.61;2.4;1.58;1.1;1.62
2.85;2.85;2.85;2.76;2.66;2.61;2.41;1.58;1.1;1.62
2.85;2.85;2.85;2.76;2.66;2.61;2.41;1.58;1.1;1.62
2.85;2.85;2.85;2.75;2.66;2.61;2.4;1.58;1.1;1.61
2.85;2.85;2.85;2.76;2.65;2.61;2.4;1.58;1.1;1.61
2.85;2.85;2.85;2.76;2.65;2.61;2.39;1.57;1.1;1.62
2.85;2.85;2.85;2.76;2.65;2.61;2.4;1.58;1.1;1.62
2.85;2.85;2.85;2.76;2.65;2.61;2.4;1.58;1.1;1.62
2.85;2.85;2.85;2.76;2.65;2.61;2.41;1.59;1.1;1.62
2.85;2.85;2.85;2.76;2.66;2.61;2.4;1.59;1.1;1.62
2.85;2.85;2.85;2.76;2.56;2.61;2.41;1.59;1.1;1.62
2.85;2.86;2.85;2.76;2.56;2.61;2.4;1.58;1.1;1.63
2.85;2.85;2.85;2.76;2.56;2.61;2.4;1.58;1.1;1.62
2.87;2.87;2.86;2.74;2.55;2.61;2.37;1.55;1.09;1.61
2.86;2.84;2.85;2.76;2.56;2.61;2.41;1.59;1.1;1.63
2.86;2.85;2.85;2.77;2.56;2.61;2.41;1.59;1.1;1.64
2.85;2.84;2.84;2.77;2.56;2.61;2.41;1.59;1.1;1.63
2.84;2.85;2.85;2.77;2.56;2.61;2.41;1.58;1.1;1.62
2.86;2.86;2.84;2.76;2.56;2.61;2.39;1.58;1.1;1.62
2.87;2.86;2.84;2.77;2.56;2.61;2.4;1.58;1.1;1.62
2.8;2.83;2.82;2.8;2.55;2.61;2.37;1.57;1.09;1.6
2.88;2.85;2.85;2.78;2.56;2.61;2.41;1.59;1.1;1.62
2.86;2.85;2.85;2.77;2.56;2.61;2.41;1.59;1.1;1.62
2.87;2.88;2.75;2.77;2.56;2.61;2.43;1.59;1.1;1.7
2.82;2.86;2.83;2.76;2.56;2.61;2.42;1.59;1.1;1.7
2.82;2.82;2.85;2.77;2.56;2.61;2.43;1.59;1.1;1.7
2.85;2.85;2.85;2.76;2.56;2.61;2.42;1.58;1.1;1.7
2.89;3;2.85;2.76;2.55;2.61;2.38;1.56;1.09;1.68
3;2.83;2.86;2.75;2.56;2.6;2.43;1.59;1.1;1.69
2.8;2.89;2.8;2.76;2.55;2.6;2.44;1.59;1.1;1.6
2.9;2.86;2.83;2.75;2.55;2.6;2.44;1.59;1.1;1.64
2.83;2.82;2.85;2.74;2.55;2.6;2.44;1.59;1.1;1.59
2.8;2.89;2.85;2.74;2.55;2.6;2.43;1.58;1.09;1.59
2.83;2.83;2.84;2.75;2.55;2.6;2.43;1.58;1.09;1.59
2.83;3;2.84;2.72;2.54;2.61;2.39;1.55;1.1;1.58
2.83;2.88;2.83;2.74;2.55;2.6;2.44;1.58;1.09;1.6
2.83;2.94;2.84;2.73;2.54;2.6;2.42;1.56;1.1;1.59
2.85;2.88;2.85;2.76;2.66;2.61;2.44;1.59;1.1;1.6
2.85;2.83;2.85;2.75;2.65;2.61;2.43;1.38;1.1;1.6
2.85;2.9;2.85;2.75;2.65;2.61;2.42;1.38;1.1;1.6
2.85;2.85;2.85;2.75;2.65;2.61;2.42;1.37;1.1;1.6
2.85;2.86;2.85;2.75;2.65;2.61;2.38;1.33;1.09;1.59
2.85;2.85;2.85;2.76;2.66;2.61;2.48;1.4;1.1;1.6
2.85;2.85;2.85;2.75;2.79;2.78;2.49;1.39;1.1;1.6
2.85;2.85;2.85;2.76;2.79;2.78;2.51;1.38;1.1;1.6
2.85;2.85;2.85;2.76;2.78;2.78;2.54;1.38;1.1;1.61
2.85;2.85;2.85;2.75;2.79;2.78;2.54;1.39;1.1;1.6
2.85;2.85;2.85;2.75;2.78;2.78;2.52;1.37;1.1;1.6
2.85;2.84;2.85;2.75;2.78;2.78;2.53;1.33;1.09;1.6
2.85;2.85;2.85;2.75;2.79;2.78;2.61;1.4;1.1;1.6
2.85;2.85;2.85;2.76;2.79;2.78;2.68;1.41;1.1;1.66
1.76;1.74;1.75;1.73;2.79;2.78;2.71;1.4;1.1;1.67
1.74;1.74;1.74;1.72;2.79;2.78;2.78;1.59;1.1;1.66
1.74;1.74;1.73;1.72;2.79;2.78;2.82;1.58;1.05;1.66
1.74;1.74;1.74;1.72;2.79;2.78;2.8;1.59;1.05;1.66
1.75;1.75;1.76;1.69;2.78;2.78;3;1.56;1.03;1.66
1.75;1.76;1.76;1.74;2.78;2.78;2.89;1.59;1.05;1.67
1.75;1.75;1.76;1.72;2.79;2.78;2.88;1.59;1.05;1.67
1.74;1.76;1.75;1.73;2.79;2.78;2.8;1.59;1.05;1.67
1.76;1.75;1.75;1.74;2.79;2.78;2.86;1.6;1.05;1.66
1.74;1.74;1.74;1.73;2.94;2.61;3;1.59;1.04;1.67
1.75;1.74;1.75;1.71;2.95;2.61;3;1.58;1.04;1.66
1.76;1.78;1.78;1.71;2.95;2.61;2.37;1.56;1.03;1.67
1.76;1.76;1.77;1.74;2.95;2.61;2.38;1.59;1.05;1.67
1.75;1.75;1.78;1.74;2.94;2.61;2.38;1.59;1.05;1.67
1.76;1.76;1.76;1.77;2.94;2.61;2.38;1.59;1.05;1.67
2.85;2.85;2.85;2.76;2.94;2.61;2.39;1.58;1.04;1.67
2.85;2.85;2.85;2.76;2.95;2.61;2.39;1.58;1.04;1.66
2.85;2.85;2.85;2.76;2.95;2.61;2.39;1.58;1.04;1.66
2.85;2.85;2.85;2.75;2.95;2.61;2.38;1.56;1.04;1.66
2.85;2.85;2.85;2.76;2.94;2.61;2.4;1.59;1.05;1.66
2.85;2.85;2.85;2.75;2.94;2.61;2.39;1.58;1.05;1.66
2.85;2.85;2.85;2.76;2.95;2.61;2.39;1.58;1.04;1.67
2.85;2.85;2.85;2.76;2.94;2.61;2.39;1.58;1.04;1.67
2.85;2.85;2.85;2.75;2.94;2.61;2.39;1.58;1.04;1.66
2.85;2.85;2.85;2.76;2.94;2.61;2.4;1.58;1.04;1.66
2.85;2.85;2.85;2.75;2.95;2.61;2.38;1.56;1.04;1.66
2.85;2.85;2.85;2.76;2.95;2.61;2.41;1.59;1.05;1.68
2.85;2.85;2.85;2.75;2.94;2.61;2.41;1.59;1.05;1.67
2.85;2.85;2.85;2.76;2.94;2.61;2.42;1.59;1.05;1.68
2.85;2.85;2.85;2.76;2.95;2.61;2.42;1.59;1.05;1.67
2.85;2.85;2.85;2.76;2.94;2.61;2.43;1.58;1.05;1.67
2.85;2.85;2.85;2.76;2.94;2.61;2.42;1.58;1.05;1.67
2.85;2.85;2.85;2.75;2.95;2.61;2.39;1.57;1.04;1.66
2.85;2.85;2.85;2.76;2.94;2.61;2.44;1.58;1.05;1.67
2.85;2.85;2.85;2.76;2.94;2.61;2.44;1.59;1.05;1.67
2.85;2.85;2.85;2.76;2.94;2.61;2.45;1.59;1.05;1.67
2.85;2.85;2.85;2.75;2.95;2.61;2.44;1.59;1.05;1.68
2.85;2.85;2.85;2.75;2.94;2.61;2.44;1.59;1.04;1.66
2.85;2.85;2.85;2.75;2.95;2.61;2.43;1.58;1.05;1.66
2.85;2.86;2.85;2.75;2.95;2.61;2.4;1.56;1.04;1.66
2.85;2.85;2.85;2.76;2.94;2.61;2.44;1.59;1.05;1.66
2.85;2.85;2.85;2.76;2.94;2.61;2.43;1.59;1.05;1.68
2.85;2.85;2.85;2.76;2.94;2.61;2.44;1.6;1.05;1.68
2.85;2.85;2.85;2.76;2.95;2.61;2.42;1.59;1.05;1.67
2.85;2.85;2.85;2.75;2.94;2.61;2.44;1.58;1.05;1.67
2.85;2.85;2.85;2.75;2.94;2.61;2.43;1.58;1.04;1.66
2.85;2.86;2.85;2.76;2.95;2.61;2.4;1.57;1.04;1.67
2.85;2.85;2.85;2.76;2.94;2.61;2.48;1.59;1.05;1.66
2.85;2.85;2.85;2.76;2.94;2.61;2.51;1.59;1.05;1.66
2.85;2.85;2.85;2.76;2.95;2.61;2.49;1.58;1.05;1.67
2.85;2.85;2.85;2.76;2.94;2.61;2.61;1.59;1.05;1.67
2.85;2.85;2.85;2.75;2.94;2.61;2.53;1.58;1.05;1.67
2.85;2.85;2.85;2.76;2.95;2.61;2.53;1.58;1.04;1.66
2.85;2.85;2.85;2.75;2.95;2.61;2.41;1.56;1.04;1.65
2.85;2.85;2.85;2.76;2.94;2.61;2.41;1.59;1.05;1.67
2.85;2.85;2.85;2.75;2.94;2.61;2.41;1.59;1.05;1.67
1.99;1.99;1.99;2.76;2.95;2.61;2.4;1.59;1.05;1.67
1.99;1.98;1.99;2.75;2.94;2.61;2.39;1.58;1.05;1.66
1.99;1.98;1.99;2.75;2.95;2.61;2.39;1.58;1.04;1.66
1.99;1.99;1.99;2.76;2.94;2.61;2.39;1.58;1.05;1.66
1.99;1.99;1.99;2.75;2.94;2.61;2.39;1.57;1.04;1.66
1.99;1.98;1.99;2.76;2.94;2.61;2.4;1.58;1.05;1.67
1.99;1.98;1.99;2.75;2.94;2.61;2.41;1.59;1.05;1.68
1.99;1.98;1.99;2.76;2.95;2.61;2.41;1.59;1.05;1.67
1.99;1.98;1.99;2.76;2.94;2.61;2.4;1.59;1.05;1.67
1.99;1.98;1.99;2.75;2.94;2.61;2.39;1.58;1.05;1.67
1.99;1.98;1.99;2.76;2.94;2.61;2.4;1.58;1.05;1.67
1.99;1.99;1.99;2.76;2.95;2.61;2.39;1.58;1.04;1.66
1.99;1.98;1.99;2.76;2.95;2.61;2.41;1.58;1.05;1.67
1.99;1.98;1.99;2.76;2.95;2.61;2.41;1.58;1.05;1.67
1.99;1.98;1.99;2.75;2.94;2.61;2.4;1.58;1.05;1.68
2.85;2.84;2.85;2.75;2.94;2.61;2.11;1.59;1.05;1.47
2.85;2.85;2.85;2.76;2.94;2.61;2.11;1.59;1.05;1.48
2.85;2.85;2.85;2.76;2.94;2.61;2.09;1.59;1.05;1.45
2.85;2.85;2.85;2.75;2.95;2.61;2.06;1.58;1.04;1.42
2.85;2.85;2.85;2.76;2.61;2.61;2.12;1.59;1.05;1.47
2.85;2.84;2.85;2.75;2.61;2.61;2.09;1.59;1.05;1.48
2.81;2.83;2.81;2.73;2.56;2.56;2.04;1.56;1.04;1.46
2.84;2.84;2.84;2.73;2.57;2.59;2.05;1.58;1.04;1.45
2.81;2.83;2.82;2.74;2.58;2.57;2.05;1.57;1.04;1.41
2.83;2.83;2.84;2.74;2.59;2.6;2.05;1.57;1.04;1.45
2.85;2.84;2.81;2.75;2.58;2.6;2.05;1.58;1.04;1.3
2.83;2.85;2.82;2.74;2.59;2.6;2.05;1.58;1.04;1.44
2.84;2.84;2.84;2.75;2.57;2.6;2.08;1.59;1.05;1.44
2.83;2.84;2.82;2.73;2.54;2.59;2.06;1.57;1.04;1.46
2.82;2.84;2.83;2.75;2.6;2.59;2.39;1.58;1.04;1.66
2.83;2.84;2.84;2.75;2.58;2.59;2.38;1.58;1.04;1.73
2.83;2.85;2.85;2.75;2.59;2.61;2.38;1.58;1.05;1.75
2.85;2.85;2.81;2.75;2.59;2.61;2.35;1.56;1.04;1.77
2.83;2.84;2.85;2.75;2.59;2.59;2.37;1.58;1.05;1.73
2.83;2.85;2.84;2.75;2.59;2.6;2.38;1.57;1.04;1.76
