item1;item2;item3;item4;item5;item6;item7;item8;item9;item10
1237.5;874.5;646;1492;2609.5;990.5;1338.5;894;1148;145.5
416;325;337;470;695;389;8388;527;776;198
502;359;359;632;775;518;9215;618;909;208
591;397;504;715;1006;672;11628;569;1117;221
133;88;137;138;248;181;3019;117;225;51
348;280;320;482;657;377;7702;489;719;147
310;252;309;441;621;366;6522;448;613;152
304;227;259;416;562;325;5815;440;614;133
321;251;293;438;544;356;5610;447;640;169
437;303;393;557;731;450;7058;576;841;194
709;467;537;762;1170;749;7070;786;1092;245
172;114;148;159;339;184;1016;169;231;52
347;269;347;522;822;435;1632;530;792;158
359;277;333;436;662;403;1272;501;689;141
382;245;329;408;670;411;2038;462;734;141
355;279;313;453;692;353;1116;475;693;137
494;330;422;575;791;506;1514;584;771;161
743;484;599;857;1246;813;2290;770;1170;225
203;164;168;186;394;239;664;172;263;68
391;295;341;469;750;452;1382;551;724;141
317;258;322;474;649;387;1251;482;682;152
300;267;311;437;729;358;1313;474;697;132
375;271;286;466;714;409;1354;515;669;126
452;330;406;585;803;527;1613;546;797;146
730;494;648;801;1356;871;2617;737;1190;219
219;174;192;211;486;287;780;196;282;61
397;315;359;460;867;456;1583;510;761;148
364;262;321;468;801;441;1397;446;688;120
399;280;331;482;787;440;1489;454;619;143
426;262;359;477;838;397;1461;487;672;142
717;498;559;839;903;668;2113;654;947;199
4946;2842;2292;3450;817;898;3326;810;1205;255
1724;1071;947;1188;136;326;1166;236;304;73
2498;1623;1337;1973;147;521;2171;444;721;129
2305;1287;1303;1977;333;456;1985;470;613;121
2372;1309;1155;1956;817;392;2059;473;533;107
2938;1554;1423;2155;1057;557;1993;607;765;146
584.5;414;482.5;712;853;597.5;1863;600;872;172.5
3254;1504;1526;2263;1293;747;2665;707;1027;192
1437;593;515;784;551;280;1017;234;318;62
1473;719;663;1052;928;494;1833;496;691;132
322;253;308;453;825;423;1001;416;593;143
301;269;305;404;765;334;844;416;617;127
327;262;293;425;785;389;818;478;605;145
398;296;345;513;875;479;915;526;716;155
668;454;503;719;1305;737;1325;733;982;218
220;185;216;235;517;298;420;252;331;79
394;263;308;425;817;404;874;461;654;121
359;263;262;454;712;379;758;455;600;102
397;230;322;434;744;393;719;440;583;141
381;305;340;480;813;423;780;491;596;127
499;337;417;598;986;509;878;514;648;167
717;500;589;780;1357;757;1327;670;849;200
338;258;261;374;740;344;746;313;389;99
933.5;491;485.5;738.5;872.5;449;1353.5;478.5;672.5;126.5
340.5;258;285;453.5;768.5;401;879.5;435.5;596.5;122.5
476;306;360;524;961;502;1056;444;615;151
449;293;381;566;830;444;908;454;592;144
535;338;429;595;879;512;1069;500;584;166
619;397;481;681;1227;694;1262;588;721;169
291;197;225;290;581;276;614;238;301;71
663.75;377;396.75;581.75;844.75;426.5;1113.75;469.75;663.25;123.75
350;200;259;381;675;389;864;365;474;113
464;374;383;519;847;517;1126;511;605;138
452;311;384;500;731;458;1177;523;616;166
599;441;507;728;1035;603;1635;641;830;164
668;448.5;535;730.5;1292;725.5;1294.5;629;785;184.5
323;229;279;358;570;382;886;310;395;90
374;268;351;510;816;440;1311;492;699;162
375;260;343;410;652;404;1186;413;479;116
382;262;305;400;589;402;1206;444;526;112
375;261;292;451;614;382;937;457;565;140
450;302;414;460;768;509;770;517;706;163
562;339;424;634;1160;742;751;672;1000;361
110;69;89;109;279;149;80;141;185;51
301;178;250;388;843;425;223;432;611;235
215;159;226;290;667;349;96;365;509;214
282;162;219;317;712;355;51;452;538;229
220;165;200;348;697;337;24;454;597;190
337;209;241;417;894;441;400;565;740;238
410;287;359;564;1232;714;993;704;967;278
105;65;73;122;304;193;317;135;162;34
235;170;229;342;787;427;973;452;600;128
217;162;295;431;929;384;961;670;566;121
259;161;266;428;964;411;1034;500;575;120
286;175;327;505;996;386;1214;595;560;119
344;217;408;607;1263;549;1504;659;737;169
525;258;587;832;1856;788;2480;915;989;259
127;53;114;163;387;182;540;176;170;52
272;175;362;571;1141;404;1520;655;626;150
303;154;329;508;867;386;1171;595;510;146
337;155;289;494;1009;391;1207;604;565;137
324;208;403;535;1034;458;956;728;643;154
445;246;508;689;1284;560;1130;743;803;191
713;376;734;897;1863;852;2655;1002;1187;243
130;69;151;146;386;175;561;199;182;50
359;202;369;464;1042;440;1807;623;604;143
346;188;351;427;890;411;1691;649;622;134
313;187;327;477;1187;600;1448;560;584;144
670;416;508;911;2984;2014;1389;1021;1310;131
412;309;347;607;3177;2310;1772;1167;1517;148
222;219;493;418;4488;3064;2783;1536;1947;241
15;33;180;35;1048;616;585;307;275;44
83;70;530;188;2894;1970;1789;1077;1337;156
56;227;519;168;2340;1508;1425;881;1112;119
42;281;529;167;2294;1514;1363;903;1203;111
41;464;637;506;2474;1509;1330;949;1101;136
70;670;873;1111;2736;2017;1860;1271;1506;167
762;946;1194;1558;4107;2851;2742;1464;2114;188
240;203;280;337;1016;664;638;332;400;43
808;537;742;1016;2435;1587;1682;1110;1226;147
895;550;643;992;2243;1418;1369;982;1223;100
712;520;620;938;1682;1072;6246;930;1206;120
335;248;298;420;593;323;11928;505;566;155
428;305;381;448;756;439;14149;587;793;151
685;429;528;711;1206;690;18706;812;1119;241
138;81;120;131;244;139;3561;143;197;45
331;201;264;348;655;340;9655;419;526;123
311;225;286;379;605;355;9609;485;595;141
410;294;356;492;799;473;9153;528;737;162
278;172;224;269;493;267;5384;314;395;86
538;371;484;635;927;537;11550;662;901;191
797;507;633;789;1392;878;16632;894;1162;280
148;95;128;166;279;130;3158;136;183;49
396;272;325;422;720;435;8859;492;691;161
389;269;334;430;687;364;8060;450;602;163
340;251;281;377;609;345;4202;444;581;137
328;219;287;389;627;392;695;426;576;140
437;319;394;490;832;468;1368;588;810;213
712;439;566;756;1299;834;2516;869;1234;278
174;113;145;154;277;183;554;177;203;53
406;257;321;423;804;422;1473;525;695;160
351;235;310;404;667;410;1314;510;617;158
359;216;281;392;616;382;1295;500;660;137
348;258;309;375;668;428;1386;563;683;161
421;356;398;533;870;558;1849;737;856;185
709;433;598;788;1351;893;2875;951;1352;252
159;85;93;114;358;234;629;207;238;51
401;187;184;330;835;505;1672;549;720;173
334;188;212;319;656;368;1329;540;713;144
315;167;218;364;677;410;1432;540;610;150
278;155;194;372;703;417;1520;535;729;104
334;207;266;455;890;515;1916;670;812;202
517;250;311;528;1302;777;2777;876;1181;227
83;47;51;67;263;163;567;146;181;35
252;150;206;297;812;504;1881;525;662;155
233;152;210;311;737;402;1636;537;695;136
220;139;178;295;713;395;1592;493;637;116
278;148;192;321;802;453;1770;608;699;166
340;169;258;473;1036;671;2417;669;885;157
402;242;310;429;1284;744;2824;757;925;199
121;66;72;90.5;310.5;198.5;598;176.5;209.5;43
326.5;168.5;195;313.5;823.5;504.5;1776.5;537;691;164
265;144;219;323;877;472;2063;587;695;171
170;119;146;231;774;420;1852;545;686;189
138;105;94;191;715;401;1615;489;625;136
106;90;87;204;803;443;1825;562;667;155
116;88;79;240;1181;672;2560;718;966;220
23;15;21;23;247;152;614;148;175;44
56;45;61;99;962;437;2016;580;753;172
35;34;26;91;760;410;1572;491;622;122
20;51;45;88;750;362;1542;462;579;140
31;34;33;75;757;372;1535;497;599;127
43;36;31;102;947;457;1826;551;737;160
30;28;38;111;1273;753;2712;721;996;232
5;6;11;5;345;194;739;164;159;50
16;20;20;60;815;446;1762;486;578;114
7;20;20;71;702;351;1421;451;557;184
15;16;4;44;594;340;992;464;520;135
11;22;12;42;710;329;961;388;570;122
11;11;13;128;802;428;1248;589;745;143
13;13;13;300;1100;620;1560;718;1018;206
9;2;16;58;294;165;359;165;209;38
3;6;7;230;783;419;1151;504;624;133
5;9;5;305;785;440;1094;597;704;154
17.5;33.5;24.5;66;672;351;1267;463;549.5;137.5
6;11;54;375;774;413;1018;551;761;160
5;9;124;391;739;461;1053;628;802;170
12;12;256;513;1028;599;1331;727;980;210
24;2;68;98;266;148;249;143;168;48
126;8;254;440;915;489;1185;678;853;205
6;14.5;12.5;188;743.5;395.5;1257.5;524;630.5;169
239;8;327;508;897;529;1369;692;1110;236
264;6;315;419;711;413;1064;744;1394;187
326;10;345;450;700;493;1076;796;1490;203
516;54;402;612;1063;686;1267;1030;1842;230
157;29;120;133;276;180;234;228;352;61
327;101;254;421;683;380;586;688;1271;141
269;98;248;359;555;344;357;582;1133;156
342;124;259;376;619;343;259;606;1029;135
306;148;250;374;620;392;181;609;1036;128
402;195;335;454;712;452;171;714;1222;161
581;271;472;611;1016;707;134;907;1601;241
117;51;117;116;224;145;19;198;295;42
370;207;306;440;828;463;46;663;1144;162
355;201;303;398;680;429;28;642;1179;136
1278;768;1036;1439;588;342;21;526;795;130
1710;1247;1318;2089;609;361;18;439;575;137
1925;1486;1365;2265;709;487;11;553;689;175
2686;1730;1877;2818;987;677;15;706;922;214
613;390;424;573;231;144;1;123;179;44
1571;1067;1173;1823;737;447;9;498;673;186
1580;1120;1175;1766;647;389;8;536;656;137
1354;962;1083;1607;568;342;5;437;579;126
1272;910;1082;1485;511;370;7;443;554;131
1479;1016;1181;1639;664;453;2;527;698;148
1909;1410;1413;2223;904;647;7;678;982;197
454;354;338;551;219;139;79;133;174;57
1333;889;965;1427;659;412;281;502;659;115
1141;903;932;1317;562;382;554;425;608;128
913;682;650;935;522;368;798;472;800;134
270;180;223;338;538;334;931;456;1206;134
452;325;387;560;928;644;1858;892;2068;232
2297.5;1570;1645;2520.5;945.5;662;11;692;952;205.5
258;163;219;262;441;328;900;350;825;99
341;286;319;442;803;458;1610;714;1684;203
256;198;234;367;575;387;1237;590;1436;125
268;198;249;365;510;316;1154;497;1300;132
270;208;222;364;549;384;1232;548;1307;121
380;262;328;484;734;478;1570;730;1660;190
489;317;424;627;1018;697;2362;859;2009;201
146;106;111;130;219;177;581;148;354;44
389;191;258;378;704;443;1381;499;1231;150
292;159;222;350;540;371;1186;521;1064;118
297;217;269;365;575;377;1122;506;988;108
321;198;265;398;565;354;972;502;629;112
354;263;310;483;632;401;1080;564;740;150
448;329;391;630;811;584;1398;659;1043;185
140;96;103;118;228;148;335;127;245;41
310;202;246;424;585;384;1034;465;694;137
268;184;243;354;485;309;810;434;597;115
270;188;238;352;432;314;731;432;614;127
290;207;238;349;493;302;711;462;627;113
321;280;300;471;582;395;926;553;915;191
430;349;408;591;710;519;1159;663;1044;166
138;90;125;129;214;148;313;161;285;56
331;236;308;415;632;358;956;510;718;133
302;194;259;364;518;289;764;414;585;106
272;190;240;336;460;339;767;405;618;108
316;207;270;405;512;372;810;437;670;131
380;244;331;476;651;406;746;525;784;152
450;371;436;593;723;575;733;659;972;145
141;83;126;135;236;190;113;176;235;51
336;235;312;444;583;426;312;540;761;145
272;232;299;397;490;336;195;471;658;125
269;207;250;335;497;361;120;461;621;136
291;199;259;342;467;328;66;390;585;127
358;261;332;473;574;423;59;534;758;142
431;307;419;609;745;565;60;676;940;157
149;92;129;142;222;158;73;140;228;31
301;233;295;407;632;415;336;459;682;142
295;205;274;374;496;326;400;427;625;119
1129;784;999;377;491;338;546;374;572;103
1712;1107;1544;362;505;320;761;482;581;128
1833;1307;1672;428;558;414;967;490;718;140
2219;1610;2084;536;787;537;1456;664;871;193
564;460;610;170;272;163;496;140;234;50
1567;1212;1448;411;632;421;1275;539;724;156
1262;1025;1304;354;480;338;996;410;552;96
1241;940;1254;346;485;319;965;393;564;100
1314;939;1209;347;481;323;1092;432;574;112
1526;1165;1398;412;574;395;1330;564;721;140
1884;1483;1803;576;809;518;1649;638;877;148
553;457;521;137;256;161;568;164;259;35
1395;1059;1340;373;650;419;1438;432;590;133
1116;894;978;333;469;297;1086;397;601;98
735;575;647;338;483;320;1132;426;551;77
275;192;217;349;475;320;1400;420;589;159
295;181;262;405;587;408;1799;465;722;231
414;319;420;535;837;521;2410;621;862;234
123;87;102;144;263;174;753;178;259;65
291;213;256;373;646;381;1921;417;617;163
252;206;249;341;601;320;1658;340;501;141
292;233;286;334;615;368;1693;462;569;154
285;236;251;346;600;360;1797;449;643;186
330;239;306;426;699;424;1971;465;705;186
408;325;365;552;819;530;2348;539;827;187
138;85;110;134;217;135;747;128;195;47
286;189;279;385;653;383;1865;403;614;173
256;194;213;347;506;299;1523;356;502;171
243;199;199;328;536;306;1376;335;503;113
279;180;239;334;527;339;1265;387;520;80
300;245;285;407;644;393;1314;465;577;106
366;266;331;490;723;424;1522;499;681;124
116;67;79;106;198;137;473;121;167;26
334;242;323;403;706;401;1442;472;599;112
347;259;362;476;769;467;1509;480;712;123
267.5;216;242.5;331;575.5;337;1534.5;398.5;536;133.5
214;248;219;375;632;367;1448;422;541;103
209;226;160;324;658;397;1331;445;615;104
151;165;127;244;644;414;1361;487;644;115
56;41;48;63;237;142;502;133;181;37
219;178;199;278;731;466;1621;450;721;103
184;144;153;282;610;311;1211;352;476;92
186;139;178;289;526;349;1096;372;480;94
160;133;143;258;546;338;1128;329;628;96
180;155;193;297;582;349;1377;481;766;115
239;155;225;326;827;498;1677;518;1048;154
100;47;75;97;344;152;711;136;306;42
192;144;203;264;787;418;1711;484;799;131
164;108;152;209;594;307;1265;359;778;142
145;90;125;146;592;300;1248;331;739;102
129;80;138;207;619;294;1384;338;744;109
195;120;167;265;723;385;1629;499;806;115
250;172;235;413;1049;530;2336;662;1212;166
70;51;67;89;298;168;644;160;351;44
210;131;176;313;689;430;1674;527;926;148
143;103;163;291;584;340;1348;491;779;119
168;106;138;264;717;399;1372;397;733;104
148;118;132;240;1087;736;1297;421;528;101
175;139;141;344;1351;929;1671;506;653;134
257;174;241;423;1734;1193;2238;584;766;182
68;44;71;109;478;359;651;146;221;54
177;130;177;298;1225;858;1673;435;584;132
157;103;144;293;1088;701;1355;421;502;123
163;114;155;300;1023;673;1326;360;478;112
198;112;160;295;1093;697;1339;428;493;134
246;146;225;395;1216;891;1138;485;677;194
337;236;301;513;1732;1260;1602;672;884;187
104;63;94;133;580;348;484;154;190;40
285;182;249;397;1349;742;1423;480;629;136
220;155;205;333;981;615;1118;446;535;120
194;150;193;366;673;435;801;370;516;108
209;169;205;300;494;343;812;402;524;101
293;191;251;410;578;325;976;472;657;148
400;293;377;602;811;500;1338;622;853;221
118;67;97;147;244;135;299;127;193;39
264;172;235;383;637;353;840;441;596;137
219;182;222;353;487;281;754;423;508;120
238;157;214;380;527;287;722;456;520;93
260;189;247;390;510;305;711;420;510;93
340;215;332;520;600;377;802;535;718;145
496;290;436;608;942;544;1207;695;898;208
126;72;125;146;263;153;318;181;199;47
354;257;338;431;738;434;937;550;709;157
275;210;309;425;577;358;731;428;656;161
363;274;310;486;668;365;816;448;623;121
970;745;827;1514;2061;1175;732;834;1107;134
1268;875;1059;1943;2462;1494;1064;1070;1381;197
1836;1270;1592;2584;3637;2179;1609;1507;1917;220
442;301;321;532;767;474;372;286;442;36
987;681;777;1501;1937;1192;963;884;1139;137
964;602;744;1323;1917;1105;843;891;1257;134
929;587;671;1305;1857;1115;870;937;1232;129
986;622;748;1345;1866;1106;1012;936;1262;122
1124;752;922;1566;2083;1330;1235;981;1395;172
1776;1188;1370;2092;3109;1964;1789;1212;1653;162
415;254;325;465;736;421;469;280;392;21
1036;710;832;1334;1915;1200;1305;871;1198;90
936;617;725;1205;1711;1068;1081;871;1128;97
715;544;564;865;1465;833;3988;769;1109;128
250;162;246;338;464;277;5506;379;564;137
290;233;319;407;568;366;6197;482;730;201
440;310;420;544;856;537;8330;595;915;231
152;86;117;119;260;131;2263;145;214;32
302;184;267;375;667;360;5848;438;550;175
271;197;263;337;534;292;5077;408;572;153
262;173;239;340;499;318;5047;357;494;111
236;175;261;355;482;280;4889;375;530;131
383;250;348;450;651;407;6173;488;714;182
519;324;518;652;1005;576;8797;599;962;223
178;93;164;162;346;202;2679;174;250;42
305;225;316;376;625;329;5152;430;618;169
336;225;284;431;600;340;4491;490;673;153
273;171;238;351;1052;372;1487;640;716;216
243;168.5;253.5;346.5;473;278.5;5197.5;377;547;134
381;293;379;491;1364;579;1911;897;971;264
323;220;335;428;1300;476;1817;804;919;235
74;55;75;90;385;114;504;204;226;30
265;151;231;316;978;409;1450;696;743;170
242;157;199;339;918;325;1326;579;666;168
186;143;200;273;886;285;1296;670;641;82
200;108;184;257;861;297;1294;609;654;202
255;174;230;352;1085;403;1703;747;788;342
345;240;345;443;1522;575;2494;1018;1066;336
95;77;88;108;473;165;683;245;237;120
225;133;194;271;1027;375;1624;587;618;258
209;134;170;275;869;292;1475;626;637;240
165;118;171;268;781;280;1154;533;583;203
187;118;180;276;579;304;1009;457;585;162
234;151;223;355;668;430;1274;552;780;184
368;243;333;499;1150;603;1816;742;1058;243
115;63;107;104;362;233;432;163;229;72
208;127;177;270;689;401;1177;458;606;173
181;141;199;302;600;349;888;433;566;162
213;128;176;298;537;319;842;407;545;164
203;134;234;305;512;306;846;400;610;169
245;153;270;373;644;385;989;540;806;190
253;212;300;363;1011;741;1558;777;1166;228
58;46;66;44;376;219;467;178;263;60
81;92;93;139;614;337;944;421;666;206
77;68;67;117;539;320;870;418;653;155
84;80;96;117;499;317;787;405;628;150
101;83;124;178;548;351;993;413;698;161
207;114;161;253;756;475;1200;542;778;181
314;199;318;429;1226;699;1907;768;1141;263
152;99;155;154;474;312;669;217;308;84
258;185;280;315;725;447;1301;444;637;194
241;146;236;319;648;390;1157;456;640;187
220;168;216;361;632;369;1209;430;595;178
252;196;252;424;702;382;1414;479;609;192
367;258;394;605;867;601;1959;615;823;258
283.5;205.5;309;396;1118.5;720;1732.5;772.5;1153.5;245.5
242;153;217;273;627;354;1189;276;384;94
327;196;274;443;790;480;1913;510;713;200
296;184;290;377;709;412;1431;502;558;174
1051;713;877;1689;638;381;1377;480;585;185
1659;1178;1352;2523;705;400;1535;424;593;176
2101;1390;1554;2637;800;508;1877;496;686;220
2771;1599;2168;3272;1207;764;2693;643;960;253
1231;711;898;1530;594;320;1090;240;340;112
1756;954;1198;2092;799;447;3325;443;606;183
1562;867;1213;1873;648;356;3553;398;494;180
1276;886;1162;1903;669;345;4009;410;467;154
1334;914;1106;1731;695;399;4226;406;572;172
1542;927;1230;2002;863;449;4684;461;588;188
1946;1130;1550;2512;1238;671;6215;665;771;231
1270;634;1021;1533;902;438;4305;371;463;154
1099;734;862;1385;772;392;3539;354;439;160
929;525.5;751.5;1125;678.5;384;2492;450;526;177
1163.5;799.5;1019.5;1796;653.5;363;2693;445;526;169.5
1156;668;998;1314;991;508;1953;492;531;196
398;279;415;463;891;503;1979;493;528;193
464;320;445;592;1090;568;2611;535;627;243
293;164;261;295;771;380;1557;260;302;109
313;210;302;383;699;370;1715;359;426;143
1245.5;696.25;982.25;1499;663.25;370;3022.5;424;510;178.5
348;257;362;466;815;485;1918;462;539;162
322;280;368;432;687;458;1869;432;590;168
436;281;390;638;840;518;2311;569;714;226
592;353;566;680;1133;761;2796;635;873;245
781.5;399;641;914;836.5;409;2931;315.5;382.5;131.5
369;228;353;412;738;427;1962;411;540;216
333;215;299;480;595;414;1727;396;517;276
331;206;326;502;607;330;1762;369;481;274
303;222;280;658;620;380;1785;391;506;260
440;295;466;868;793;469;2089;516;605;293
747;455;604;1273;1342;834;3067;657;930;417
145;81;169;251;314;193;739;111;163;98
394;248;364;666;768;407;1923;453;570;255
288;250;319;646;652;387;1639;374;478;291
251;237;315;647;644;413;1737;387;442;246
337;217;333;608;697;345;1720;396;537;262
392;291;428;754;825;455;1992;486;636;278
671;418;567;1155;1276;723;3209;701;897;398
148;85;116;220;313;168;734;145;156;92
352;244;356;648;812;437;2133;481;636;280
341;213;322;559;649;345;1644;384;561;255
269;178;253;464;636;323;1568;360;481;246
228;145;216;398;628;380;1644;364;537;163
313;218;273;484;813;461;2174;535;709;216
455;268;398;659;1316;738;3190;637;885;234
94;54;93;135;308;150;792;132;176;52
225;125;211;382;734;373;1905;418;637;178
170;121;168;327;606;310;1741;396;520;170
167;111;167;316;548;294;1500;360;575;135
193;129;153;354;617;309;1717;380;577;163
273;172;280;539;921;502;2416;621;945;238
386;226;388;722;1357;754;3201;773;1120;284
86;55;99;149;327;163;832;168;210;76
221;145;183;422;717;381;2048;484;661;205
183;125;196;348;568;335;1781;364;625;168
204;126;187;385;608;312;1703;405;632;149
192;124;199;386;711;364;1708;441;630;135
266;145;212;471;945;458;2257;551;821;220
372;205;325;669;1408;724;3341;802;1122;266
103;55;90;146;347;162;718;149;208;50
222;102;191;381;909;414;2250;436;676;195
171;94;177;402;779;344;1766;431;677;151
189;95;173;400;732;359;1824;382;683;139
214;106;206;392;768;371;1794;410;608;146
263;132;251;507;888;486;2168;556;887;165
407;197;408;734;1450;741;3185;736;1196;310
107;37;104;152;393;183;806;156;256;52
254;135;275;423;932;430;2309;456;822;212
238;113;269;442;794;421;1802;445;644;173
292;128;240;462;820;391;1761;475;636;150
677;220;455;981;1263;844;1663;849;1039;225
879;352;600;1249;1052;1161;2176;1025;1318;306
1104;538;980;1774;1687;1674;3389;1395;1730;427
285;162;239;362;413;394;763;282;351;86
591;311;570;803;939;954;2007;822;1116;274
307;276;489;661;697;794;1694;771;1041;227
252;200;487;665;609;725;1588;653;932;207
212;245;483;642;670;822;1672;741;1050;257
267;313;772;1035;954;1225;2284;950;1312;340
480;332;1001;1312;1228;1546;3313;1158;1664;438
163;64;233;295;315;327;728;233;299;52
420;135;546;873;876;841;2072;797;1139;304
406;138;429;671;619;731;1578;746;993;243
366;76;374;650;678;620;1375;671;890;209
182;27;269;369;659;317;2151;417;583;182
171;49;342;475;782;438;2851;486;726;196
225;79;526;733;1236;681;4323;691;1099;297
36;25;115;152;304;166;1053;139;226;54
90;38;246;439;743;423;2818;457;673;210
47;27;266;413;639;338;2372;455;634;175
124;32;258;412;637;368;2424;419;673;192
134;12;295;378;589;353;2238;422;653;181
261;26;369;484;741;406;2704;561;770;221
496;61;551;761;1201;753;4122;737;1151;293
156;49;139;156;333;189;1043;148;218;67
268;91;309;442;795;419;2613;507;724;198
268;100;277;401;609;351;1958;442;638;200
234;74;247;367;577;286;1698;374;579;138
296;115;288;419;603;337;1583;424;632;177
359;170;399;545;826;417;2050;522;818;237
537;250;569;704;1082;658;2935;628;1109;270
156;60;126;148;290;173;662;151;216;64
342;172;351;479;767;417;2045;451;722;226
300;190;335;429;666;350;1704;448;671;200
323;210;284;396;646;351;1587;445;697;162
337;168;308;429;662;354;1629;435;670;168
398;251;387;548;831;472;2085;563;882;232
555;376;504;748;1105;705;3042;691;1061;263
145;97;110;152;264;147;624;131;225;51
330;229;304;480;789;437;2295;518;808;220
316;174;294;439;695;377;1722;449;769;230
350;242;328;449;648;385;1730;464;737;187
335;209;307;412;663;360;1662;414;697;198
450;318;446;631;849;549;2235;560;978;276
620;361;563;729;1200;708;3072;726;1079;323
194;97;157;183;363;230;732;186;267;62
360;192;321;407;789;417;2058;527;752;222
326;212;243;441;633;347;1657;458;732;187
335;191;294;420;586;358;1459;454;704;180
360;233;356;440;619;314;1268;476;735;189
435;313;388;544;806;419;1411;532;837;252
660;356;569;772;1231;696;2117;726;1186;289
181;88;165;160;354;196;419;165;237;82
364;260;342;469;741;396;1296;483;738;224
334;218;286;373;600;323;1000;395;652;178
341;236;307;426;582;348;951;447;714;183
377;251;367;473;690;349;971;438;627;212
509;350;435;649;954;556;1296;611;860;282
579;374;532;677;1109;610;1637;684;942;291
187.5;92.5;161;171.5;358.5;213;575.5;175.5;252;72
362;226;331.5;438;765;406.5;1677;505;745;223
472;296;381;562;892;537;1561;571;772;226
445;287;386;435;807;434;1408;508;794;204
368.5;242;361.5;456.5;654.5;331.5;1119.5;457;681;200.5
469;356;478;509;930;584;1632;652;896;254
519;349;451;572;865;506;1049;516;915;261
136;102;152;146;261;150;195;76;214;49
421;240;361;495;755;418;700;278;781;231
368;268;389;570;773;410;358;169;845;220
